Sexo,Comunidad autónoma/provincia,Ciclo formativo,Total,nivel_ciclo
AMBOS SEXOS,Almería,Servicios comerciales,0.0,BASICO
AMBOS SEXOS,Almería,07 EDIFICACIÓN Y OBRA CIVIL,6.0,BASICO
AMBOS SEXOS,Almería,Reforma y mantenimiento de edificios,6.0,BASICO
AMBOS SEXOS,Almería,08 ELECTRICIDAD Y ELECTRÓNICA,32.0,BASICO
AMBOS SEXOS,Almería,Electricidad y electrónica,32.0,BASICO
AMBOS SEXOS,Almería,Instalaciones electrotécnicas y mecánica,0.0,BASICO
AMBOS SEXOS,Almería,10 FABRICACIÓN MECÁNICA,16.0,BASICO
AMBOS SEXOS,Almería,Fabricación de elementos metálicos,0.0,BASICO
AMBOS SEXOS,Almería,Fabricación y montaje,16.0,BASICO
AMBOS SEXOS,Almería,11 HOSTELERÍA Y TURISMO,17.0,BASICO
AMBOS SEXOS,Almería,Actividades de panadería y pastelería,0.0,BASICO
AMBOS SEXOS,Almería,Alojamiento y lavandería,2.0,BASICO
AMBOS SEXOS,Almería,Cocina y restauración,15.0,BASICO
AMBOS SEXOS,Almería,12 IMAGEN PERSONAL,18.0,BASICO
AMBOS SEXOS,Almería,Peluquería y estética,18.0,BASICO
AMBOS SEXOS,Almería,14 INDUSTRIAS ALIMENTARIAS,0.0,BASICO
AMBOS SEXOS,Almería,Industrias alimentarias,0.0,BASICO
AMBOS SEXOS,Almería,16 INFORMÁTICA Y COMUNICACIONES,35.0,BASICO
AMBOS SEXOS,Almería,Informática de oficina,10.0,BASICO
AMBOS SEXOS,Almería,Informática y comunicaciones,25.0,BASICO
AMBOS SEXOS,Almería,17 INSTALACIÓN Y MANTENIMIENTO,0.0,BASICO
AMBOS SEXOS,Almería,Mantenimiento de viviendas,0.0,BASICO
AMBOS SEXOS,Almería,"18 MADERA, MUEBLE Y CORCHO",2.0,BASICO
AMBOS SEXOS,Almería,Carpintería y mueble,2.0,BASICO
AMBOS SEXOS,Almería,19 MARÍTIMO-PESQUERA,0.0,BASICO
AMBOS SEXOS,Almería,Actividades marítimo-pesqueras,0.0,BASICO
AMBOS SEXOS,Almería,23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,5.0,BASICO
AMBOS SEXOS,Almería,Actividades domésticas y limpieza de edificios,5.0,BASICO
AMBOS SEXOS,Almería,"24 TEXTIL, CONFECCIÓN Y PIEL",0.0,BASICO
AMBOS SEXOS,Almería,Arreglo y reparación de artículos textiles y de piel,0.0,BASICO
AMBOS SEXOS,Almería,Tapicería y cortinaje,0.0,BASICO
AMBOS SEXOS,Almería,25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,26.0,BASICO
AMBOS SEXOS,Almería,Mantenimiento de embarcaciones deportivas y de recreo,4.0,BASICO
