Sexo;Comunidad autónoma/provincia (1);Ciclo formativo (2);Total
AMBOS SEXOS;Almería;Postimpresión y acabados gráficos;0
AMBOS SEXOS;Almería;Preimpresión digital;114
AMBOS SEXOS;Almería;06 COMERCIO Y MARKETING;1.416
AMBOS SEXOS;Almería;Actividades comerciales;1.416
AMBOS SEXOS;Almería;Comercialización de productos alimentarios;0
AMBOS SEXOS;Almería;07 EDIFICACIÓN Y OBRA CIVIL;40
AMBOS SEXOS;Almería;Construcción;6
AMBOS SEXOS;Almería;Obras de interior, decoración y rehabilitación;34
AMBOS SEXOS;Almería;08 ELECTRICIDAD Y ELECTRÓNICA;1.386
AMBOS SEXOS;Almería;Instalaciones de telecomunicaciones;493
AMBOS SEXOS;Almería;Instalaciones eléctricas y automáticas;893
AMBOS SEXOS;Almería;09 ENERGÍA Y AGUA;13
AMBOS SEXOS;Almería;Redes y estaciones de tratamiento de agua;13
AMBOS SEXOS;Almería;10 FABRICACIÓN MECÁNICA;613
AMBOS SEXOS;Almería;Conformado por moldeo de metales y polímeros;13
AMBOS SEXOS;Almería;Joyería (LOGSE);0
AMBOS SEXOS;Almería;Mecanizado;228
AMBOS SEXOS;Almería;Soldadura y calderería;372
AMBOS SEXOS;Almería;11 HOSTELERÍA Y TURISMO;954
AMBOS SEXOS;Almería;Cocina y gastronomía;730
AMBOS SEXOS;Almería;Servicios de restauración;224
AMBOS SEXOS;Almería;12 IMAGEN PERSONAL;1.056
AMBOS SEXOS;Almería;Estética y belleza;517
AMBOS SEXOS;Almería;Peluquería y cosmética capilar;539
AMBOS SEXOS;Almería;13 IMAGEN Y SONIDO;169
AMBOS SEXOS;Almería;Vídeo, disc-jockey y sonido;169
AMBOS SEXOS;Almería;14 INDUSTRIAS ALIMENTARIAS;192
AMBOS SEXOS;Almería;Aceites de oliva y vinos;38
AMBOS SEXOS;Almería;Elaboración de productos alimenticios;52
AMBOS SEXOS;Almería;Panadería, repostería y confitería;102
AMBOS SEXOS;Almería;15 INDUSTRIAS EXTRACTIVAS;7
AMBOS SEXOS;Almería;Excavaciones y sondeos;7
AMBOS SEXOS;Almería;Piedra natural;0
AMBOS SEXOS;Almería;16 INFORMÁTICA Y COMUNICACIONES;1.911
AMBOS SEXOS;Almería;Sistemas microinformáticos y redes;1.911
AMBOS SEXOS;Almería;17 INSTALACIÓN Y MANTENIMIENTO;531
AMBOS SEXOS;Almería;Instalaciones de producción de calor;84
AMBOS SEXOS;Almería;Instalaciones frigoríficas y de climatización;301
AMBOS SEXOS;Almería;Mantenimiento electromecánico;146
