Sexo,Comunidad autónoma,Familia profesional,Porcentajes total de módulos aprobados,nivel_educativo
AMBOS SEXOS,Castilla La Mancha,IMAGEN PERSONAL,98.6,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,IMAGEN Y SONIDO,93.3,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,INDUSTRIAS ALIMENTARIAS,97.5,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,INDUSTRIAS EXTRACTIVAS,,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,INFORMÁTICA Y COMUNICACIONES,96.8,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,INSTALACIÓN Y MANTENIMIENTO,98.5,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,"MADERA, MUEBLE Y CORCHO",86.6,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,MARÍTIMO-PESQUERA,,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,QUÍMICA,98.5,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,SANIDAD,98.4,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,SEGURIDAD Y MEDIO AMBIENTE,98.1,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,97.6,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,"TEXTIL, CONFECCIÓN Y PIEL",95.9,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,96.9,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,VIDRIO Y CERÁMICA,,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,ACTIVIDADES FÍSICAS Y DEPORTIVAS,90.7,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,ADMINISTRACIÓN Y GESTIÓN,79.0,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,AGRARIA,74.3,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,ARTES GRÁFICAS,77.0,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,ARTES Y ARTESANÍAS,78.8,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,COMERCIO Y MARKETING,79.0,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,EDIFICACIÓN Y OBRA CIVIL,64.9,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,ELECTRICIDAD Y ELECTRÓNICA,70.2,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,ENERGÍA Y AGUA,65.4,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,FABRICACIÓN MECÁNICA,73.1,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,HOSTELERÍA Y TURISMO,71.9,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,IMAGEN PERSONAL,78.9,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,IMAGEN Y SONIDO,81.4,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,INDUSTRIAS ALIMENTARIAS,76.5,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,INDUSTRIAS EXTRACTIVAS,,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,INFORMÁTICA Y COMUNICACIONES,70.6,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,INSTALACIÓN Y MANTENIMIENTO,74.7,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,"MADERA, MUEBLE Y CORCHO",60.1,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,MARÍTIMO-PESQUERA,79.0,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,QUÍMICA,77.2,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,SANIDAD,84.9,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,SEGURIDAD Y MEDIO AMBIENTE,78.8,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,79.9,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,"TEXTIL, CONFECCIÓN Y PIEL",72.6,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,73.6,SUPERIOR
AMBOS SEXOS,Comunitat Valenciana,VIDRIO Y CERÁMICA,67.7,SUPERIOR
AMBOS SEXOS,Extremadura,ACTIVIDADES FÍSICAS Y DEPORTIVAS,89.6,SUPERIOR
AMBOS SEXOS,Extremadura,ADMINISTRACIÓN Y GESTIÓN,86.5,SUPERIOR
AMBOS SEXOS,Extremadura,AGRARIA,89.7,SUPERIOR
AMBOS SEXOS,Extremadura,ARTES GRÁFICAS,77.2,SUPERIOR
AMBOS SEXOS,Extremadura,ARTES Y ARTESANÍAS,,SUPERIOR
AMBOS SEXOS,Extremadura,COMERCIO Y MARKETING,89.1,SUPERIOR
AMBOS SEXOS,Extremadura,EDIFICACIÓN Y OBRA CIVIL,72.5,SUPERIOR
AMBOS SEXOS,Extremadura,ELECTRICIDAD Y ELECTRÓNICA,78.1,SUPERIOR
AMBOS SEXOS,Extremadura,ENERGÍA Y AGUA,82.2,SUPERIOR
AMBOS SEXOS,Extremadura,FABRICACIÓN MECÁNICA,93.8,SUPERIOR
AMBOS SEXOS,Extremadura,HOSTELERÍA Y TURISMO,81.5,SUPERIOR
AMBOS SEXOS,Extremadura,IMAGEN PERSONAL,91.4,SUPERIOR
AMBOS SEXOS,Extremadura,IMAGEN Y SONIDO,79.3,SUPERIOR
AMBOS SEXOS,Extremadura,INDUSTRIAS ALIMENTARIAS,87.4,SUPERIOR
AMBOS SEXOS,Extremadura,INDUSTRIAS EXTRACTIVAS,,SUPERIOR
AMBOS SEXOS,Extremadura,INFORMÁTICA Y COMUNICACIONES,76.0,SUPERIOR
AMBOS SEXOS,Extremadura,INSTALACIÓN Y MANTENIMIENTO,71.5,SUPERIOR
AMBOS SEXOS,Extremadura,"MADERA, MUEBLE Y CORCHO",71.8,SUPERIOR
AMBOS SEXOS,Extremadura,MARÍTIMO-PESQUERA,,SUPERIOR
AMBOS SEXOS,Extremadura,QUÍMICA,77.5,SUPERIOR
AMBOS SEXOS,Extremadura,SANIDAD,91.8,SUPERIOR
AMBOS SEXOS,Extremadura,SEGURIDAD Y MEDIO AMBIENTE,98.5,SUPERIOR
AMBOS SEXOS,Extremadura,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,93.6,SUPERIOR
AMBOS SEXOS,Extremadura,"TEXTIL, CONFECCIÓN Y PIEL",95.9,SUPERIOR
AMBOS SEXOS,Extremadura,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,85.3,SUPERIOR
AMBOS SEXOS,Extremadura,VIDRIO Y CERÁMICA,,SUPERIOR
AMBOS SEXOS,Galicia,ACTIVIDADES FÍSICAS Y DEPORTIVAS,92.8,SUPERIOR
AMBOS SEXOS,Galicia,ADMINISTRACIÓN Y GESTIÓN,82.7,SUPERIOR
AMBOS SEXOS,Galicia,AGRARIA,88.6,SUPERIOR
AMBOS SEXOS,Galicia,ARTES GRÁFICAS,88.5,SUPERIOR
AMBOS SEXOS,Galicia,ARTES Y ARTESANÍAS,,SUPERIOR
AMBOS SEXOS,Galicia,COMERCIO Y MARKETING,88.2,SUPERIOR
AMBOS SEXOS,Galicia,EDIFICACIÓN Y OBRA CIVIL,74.2,SUPERIOR
AMBOS SEXOS,Galicia,ELECTRICIDAD Y ELECTRÓNICA,81.7,SUPERIOR
AMBOS SEXOS,Galicia,ENERGÍA Y AGUA,80.2,SUPERIOR
AMBOS SEXOS,Galicia,FABRICACIÓN MECÁNICA,82.1,SUPERIOR
AMBOS SEXOS,Galicia,HOSTELERÍA Y TURISMO,86.4,SUPERIOR
AMBOS SEXOS,Galicia,IMAGEN PERSONAL,85.5,SUPERIOR
AMBOS SEXOS,Galicia,IMAGEN Y SONIDO,87.6,SUPERIOR
AMBOS SEXOS,Galicia,INDUSTRIAS ALIMENTARIAS,74.1,SUPERIOR
AMBOS SEXOS,Galicia,INDUSTRIAS EXTRACTIVAS,,SUPERIOR
AMBOS SEXOS,Galicia,INFORMÁTICA Y COMUNICACIONES,78.8,SUPERIOR
AMBOS SEXOS,Galicia,INSTALACIÓN Y MANTENIMIENTO,85.1,SUPERIOR
AMBOS SEXOS,Galicia,"MADERA, MUEBLE Y CORCHO",79.6,SUPERIOR
AMBOS SEXOS,Galicia,MARÍTIMO-PESQUERA,88.7,SUPERIOR
AMBOS SEXOS,Galicia,QUÍMICA,81.5,SUPERIOR
AMBOS SEXOS,Galicia,SANIDAD,92.7,SUPERIOR
AMBOS SEXOS,Galicia,SEGURIDAD Y MEDIO AMBIENTE,85.1,SUPERIOR
AMBOS SEXOS,Galicia,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,94.0,SUPERIOR
AMBOS SEXOS,Galicia,"TEXTIL, CONFECCIÓN Y PIEL",85.8,SUPERIOR
AMBOS SEXOS,Galicia,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,88.9,SUPERIOR
AMBOS SEXOS,Galicia,VIDRIO Y CERÁMICA,,SUPERIOR
AMBOS SEXOS,Comunidad de Madrid,ACTIVIDADES FÍSICAS Y DEPORTIVAS,88.7,SUPERIOR
