Sexo,Comunidad autónoma/provincia,Ciclo formativo,Total,nivel_ciclo
AMBOS SEXOS,01 ANDALUCÍA,Mantenimiento de material rodante ferroviario,133.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Mantenimiento de embarcaciones de recreo,103.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Mantenimiento de estructuras de madera y mobiliario de embarcaciones,17.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Montaje de estructuras e instalación de sistemas aeronáuticos,51.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,26 VIDRIO Y CERÁMICA,19.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Fabricación de productos cerámicos,19.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,01 ACTIVIDADES FÍSICAS Y DEPORTIVAS,1.808,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Guía en el medio natural y de tiempo libre,1.76,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Actividades ecuestres,48.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,02 ADMINISTRACIÓN Y GESTIÓN,2.975,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Gestión administrativa,2.975,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Administración y gestión (n.d.),0.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,03 AGRARIA,596.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Aprovechamiento y conservación del medio natural,229.0,MEDIO
AMBOS SEXOS,Almería,Jardinería y floristería,136.0,MEDIO
AMBOS SEXOS,Almería,Producción agroecológica,106.0,MEDIO
AMBOS SEXOS,Almería,Producción agropecuaria,125.0,MEDIO
AMBOS SEXOS,Almería,04 ARTES GRÁFICAS,147.0,MEDIO
AMBOS SEXOS,Almería,Impresión gráfica,33.0,MEDIO
AMBOS SEXOS,Almería,Postimpresión y acabados gráficos,0.0,MEDIO
AMBOS SEXOS,Almería,Preimpresión digital,114.0,MEDIO
AMBOS SEXOS,Almería,06 COMERCIO Y MARKETING,1.416,MEDIO
AMBOS SEXOS,Almería,Actividades comerciales,1.416,MEDIO
AMBOS SEXOS,Almería,Comercialización de productos alimentarios,0.0,MEDIO
AMBOS SEXOS,Almería,07 EDIFICACIÓN Y OBRA CIVIL,40.0,MEDIO
AMBOS SEXOS,Almería,Construcción,6.0,MEDIO
AMBOS SEXOS,Almería,"Obras de interior, decoración y rehabilitación",34.0,MEDIO
AMBOS SEXOS,Almería,08 ELECTRICIDAD Y ELECTRÓNICA,1.386,MEDIO
AMBOS SEXOS,Almería,Instalaciones de telecomunicaciones,493.0,MEDIO
AMBOS SEXOS,Almería,Instalaciones eléctricas y automáticas,893.0,MEDIO
AMBOS SEXOS,Almería,09 ENERGÍA Y AGUA,13.0,MEDIO
AMBOS SEXOS,Almería,Redes y estaciones de tratamiento de agua,13.0,MEDIO
AMBOS SEXOS,Almería,10 FABRICACIÓN MECÁNICA,613.0,MEDIO
AMBOS SEXOS,Almería,Conformado por moldeo de metales y polímeros,13.0,MEDIO
AMBOS SEXOS,Almería,Joyería (LOGSE),0.0,MEDIO
AMBOS SEXOS,Almería,Mecanizado,228.0,MEDIO
AMBOS SEXOS,Almería,Soldadura y calderería,372.0,MEDIO
AMBOS SEXOS,Almería,11 HOSTELERÍA Y TURISMO,954.0,MEDIO
AMBOS SEXOS,Almería,Cocina y gastronomía,730.0,MEDIO
