Sexo,Comunidad autónoma,Familia profesional,Porcentajes total de módulos aprobados,nivel_educativo
AMBOS SEXOS,Islas Baleares,ARTES Y ARTESANÍAS,,MEDIO
AMBOS SEXOS,Islas Baleares,COMERCIO Y MARKETING,80.6,MEDIO
AMBOS SEXOS,Islas Baleares,EDIFICACIÓN Y OBRA CIVIL,73.5,MEDIO
AMBOS SEXOS,Islas Baleares,ELECTRICIDAD Y ELECTRÓNICA,75.6,MEDIO
AMBOS SEXOS,Islas Baleares,ENERGÍA Y AGUA,,MEDIO
AMBOS SEXOS,Islas Baleares,FABRICACIÓN MECÁNICA,75.0,MEDIO
AMBOS SEXOS,Islas Baleares,HOSTELERÍA Y TURISMO,82.1,MEDIO
AMBOS SEXOS,Islas Baleares,IMAGEN PERSONAL,87.9,MEDIO
AMBOS SEXOS,Islas Baleares,IMAGEN Y SONIDO,88.6,MEDIO
AMBOS SEXOS,Islas Baleares,INDUSTRIAS ALIMENTARIAS,89.7,MEDIO
AMBOS SEXOS,Islas Baleares,INDUSTRIAS EXTRACTIVAS,,MEDIO
AMBOS SEXOS,Islas Baleares,INFORMÁTICA Y COMUNICACIONES,85.6,MEDIO
AMBOS SEXOS,Islas Baleares,INSTALACIÓN Y MANTENIMIENTO,76.9,MEDIO
AMBOS SEXOS,Islas Baleares,"MADERA, MUEBLE Y CORCHO",79.9,MEDIO
AMBOS SEXOS,Islas Baleares,MARÍTIMO-PESQUERA,71.2,MEDIO
AMBOS SEXOS,Islas Baleares,QUÍMICA,,MEDIO
AMBOS SEXOS,Islas Baleares,SANIDAD,88.6,MEDIO
AMBOS SEXOS,Islas Baleares,SEGURIDAD Y MEDIO AMBIENTE,96.6,MEDIO
AMBOS SEXOS,Islas Baleares,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,93.9,MEDIO
AMBOS SEXOS,Islas Baleares,"TEXTIL, CONFECCIÓN Y PIEL",,MEDIO
AMBOS SEXOS,Islas Baleares,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,87.1,MEDIO
AMBOS SEXOS,Islas Baleares,VIDRIO Y CERÁMICA,,MEDIO
AMBOS SEXOS,Canarias,ACTIVIDADES FÍSICAS Y DEPORTIVAS,,MEDIO
AMBOS SEXOS,Canarias,ADMINISTRACIÓN Y GESTIÓN,72.4,MEDIO
AMBOS SEXOS,Canarias,AGRARIA,78.8,MEDIO
AMBOS SEXOS,Canarias,ARTES GRÁFICAS,66.6,MEDIO
AMBOS SEXOS,Canarias,ARTES Y ARTESANÍAS,,MEDIO
AMBOS SEXOS,Canarias,COMERCIO Y MARKETING,80.7,MEDIO
AMBOS SEXOS,Canarias,EDIFICACIÓN Y OBRA CIVIL,75.1,MEDIO
AMBOS SEXOS,Canarias,ELECTRICIDAD Y ELECTRÓNICA,69.6,MEDIO
AMBOS SEXOS,Canarias,ENERGÍA Y AGUA,60.1,MEDIO
AMBOS SEXOS,Canarias,FABRICACIÓN MECÁNICA,78.2,MEDIO
AMBOS SEXOS,Canarias,HOSTELERÍA Y TURISMO,72.5,MEDIO
AMBOS SEXOS,Canarias,IMAGEN PERSONAL,74.8,MEDIO
AMBOS SEXOS,Canarias,IMAGEN Y SONIDO,72.3,MEDIO
AMBOS SEXOS,Canarias,INDUSTRIAS ALIMENTARIAS,75.1,MEDIO
AMBOS SEXOS,Canarias,INDUSTRIAS EXTRACTIVAS,,MEDIO
AMBOS SEXOS,Canarias,INFORMÁTICA Y COMUNICACIONES,69.8,MEDIO
AMBOS SEXOS,Canarias,INSTALACIÓN Y MANTENIMIENTO,75.5,MEDIO
AMBOS SEXOS,Canarias,"MADERA, MUEBLE Y CORCHO",70.7,MEDIO
AMBOS SEXOS,Canarias,MARÍTIMO-PESQUERA,79.6,MEDIO
AMBOS SEXOS,Canarias,QUÍMICA,79.9,MEDIO
AMBOS SEXOS,Canarias,SANIDAD,86.5,MEDIO
AMBOS SEXOS,Canarias,SEGURIDAD Y MEDIO AMBIENTE,,MEDIO
AMBOS SEXOS,Canarias,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,86.3,MEDIO
AMBOS SEXOS,Canarias,"TEXTIL, CONFECCIÓN Y PIEL",75.9,MEDIO
AMBOS SEXOS,Canarias,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,69.6,MEDIO
AMBOS SEXOS,Canarias,VIDRIO Y CERÁMICA,,MEDIO
AMBOS SEXOS,Cantabria,ACTIVIDADES FÍSICAS Y DEPORTIVAS,94.1,MEDIO
AMBOS SEXOS,Cantabria,ADMINISTRACIÓN Y GESTIÓN,89.8,MEDIO
AMBOS SEXOS,Cantabria,AGRARIA,77.7,MEDIO
AMBOS SEXOS,Cantabria,ARTES GRÁFICAS,95.1,MEDIO
AMBOS SEXOS,Cantabria,ARTES Y ARTESANÍAS,,MEDIO
AMBOS SEXOS,Cantabria,COMERCIO Y MARKETING,85.8,MEDIO
AMBOS SEXOS,Cantabria,EDIFICACIÓN Y OBRA CIVIL,93.8,MEDIO
AMBOS SEXOS,Cantabria,ELECTRICIDAD Y ELECTRÓNICA,81.6,MEDIO
AMBOS SEXOS,Cantabria,ENERGÍA Y AGUA,,MEDIO
AMBOS SEXOS,Cantabria,FABRICACIÓN MECÁNICA,79.0,MEDIO
AMBOS SEXOS,Cantabria,HOSTELERÍA Y TURISMO,84.1,MEDIO
AMBOS SEXOS,Cantabria,IMAGEN PERSONAL,89.8,MEDIO
AMBOS SEXOS,Cantabria,IMAGEN Y SONIDO,,MEDIO
AMBOS SEXOS,Cantabria,INDUSTRIAS ALIMENTARIAS,87.9,MEDIO
AMBOS SEXOS,Cantabria,INDUSTRIAS EXTRACTIVAS,,MEDIO
AMBOS SEXOS,Cantabria,INFORMÁTICA Y COMUNICACIONES,86.1,MEDIO
AMBOS SEXOS,Cantabria,INSTALACIÓN Y MANTENIMIENTO,82.7,MEDIO
AMBOS SEXOS,Cantabria,"MADERA, MUEBLE Y CORCHO",84.9,MEDIO
AMBOS SEXOS,Cantabria,MARÍTIMO-PESQUERA,77.9,MEDIO
AMBOS SEXOS,Cantabria,QUÍMICA,88.2,MEDIO
AMBOS SEXOS,Cantabria,SANIDAD,94.5,MEDIO
AMBOS SEXOS,Cantabria,SEGURIDAD Y MEDIO AMBIENTE,,MEDIO
AMBOS SEXOS,Cantabria,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,89.6,MEDIO
AMBOS SEXOS,Cantabria,"TEXTIL, CONFECCIÓN Y PIEL",93.4,MEDIO
AMBOS SEXOS,Cantabria,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,76.5,MEDIO
AMBOS SEXOS,Cantabria,VIDRIO Y CERÁMICA,,MEDIO
AMBOS SEXOS,Castilla y León,ACTIVIDADES FÍSICAS Y DEPORTIVAS,75.4,MEDIO
AMBOS SEXOS,Castilla y León,ADMINISTRACIÓN Y GESTIÓN,71.7,MEDIO
AMBOS SEXOS,Castilla y León,AGRARIA,77.9,MEDIO
AMBOS SEXOS,Castilla y León,ARTES GRÁFICAS,67.4,MEDIO
AMBOS SEXOS,Castilla y León,ARTES Y ARTESANÍAS,,MEDIO
AMBOS SEXOS,Castilla y León,COMERCIO Y MARKETING,69.8,MEDIO
AMBOS SEXOS,Castilla y León,EDIFICACIÓN Y OBRA CIVIL,60.9,MEDIO
AMBOS SEXOS,Castilla y León,ELECTRICIDAD Y ELECTRÓNICA,67.6,MEDIO
AMBOS SEXOS,Castilla y León,ENERGÍA Y AGUA,,MEDIO
AMBOS SEXOS,Castilla y León,FABRICACIÓN MECÁNICA,72.2,MEDIO
AMBOS SEXOS,Castilla y León,HOSTELERÍA Y TURISMO,60.8,MEDIO
AMBOS SEXOS,Castilla y León,IMAGEN PERSONAL,70.6,MEDIO
AMBOS SEXOS,Castilla y León,IMAGEN Y SONIDO,89.4,MEDIO
AMBOS SEXOS,Castilla y León,INDUSTRIAS ALIMENTARIAS,80.5,MEDIO
AMBOS SEXOS,Castilla y León,INDUSTRIAS EXTRACTIVAS,,MEDIO
AMBOS SEXOS,Castilla y León,INFORMÁTICA Y COMUNICACIONES,73.5,MEDIO
AMBOS SEXOS,Castilla y León,INSTALACIÓN Y MANTENIMIENTO,69.5,MEDIO
AMBOS SEXOS,Castilla y León,"MADERA, MUEBLE Y CORCHO",72.0,MEDIO
AMBOS SEXOS,Castilla y León,MARÍTIMO-PESQUERA,,MEDIO
AMBOS SEXOS,Castilla y León,QUÍMICA,66.1,MEDIO
AMBOS SEXOS,Castilla y León,SANIDAD,77.4,MEDIO
AMBOS SEXOS,Castilla y León,SEGURIDAD Y MEDIO AMBIENTE,79.8,MEDIO
AMBOS SEXOS,Castilla y León,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,83.3,MEDIO
AMBOS SEXOS,Castilla y León,"TEXTIL, CONFECCIÓN Y PIEL",66.3,MEDIO
AMBOS SEXOS,Castilla y León,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,66.0,MEDIO
AMBOS SEXOS,Castilla y León,VIDRIO Y CERÁMICA,,MEDIO
AMBOS SEXOS,Castilla La Mancha,ACTIVIDADES FÍSICAS Y DEPORTIVAS,95.8,MEDIO
AMBOS SEXOS,Castilla La Mancha,ADMINISTRACIÓN Y GESTIÓN,93.1,MEDIO
AMBOS SEXOS,Castilla La Mancha,AGRARIA,94.3,MEDIO
AMBOS SEXOS,Castilla La Mancha,ARTES GRÁFICAS,98.5,MEDIO
AMBOS SEXOS,Castilla La Mancha,ARTES Y ARTESANÍAS,,MEDIO
AMBOS SEXOS,Castilla La Mancha,COMERCIO Y MARKETING,95.1,MEDIO
AMBOS SEXOS,Castilla La Mancha,EDIFICACIÓN Y OBRA CIVIL,98.4,MEDIO
AMBOS SEXOS,Castilla La Mancha,ELECTRICIDAD Y ELECTRÓNICA,93.6,MEDIO
AMBOS SEXOS,Castilla La Mancha,ENERGÍA Y AGUA,,MEDIO
AMBOS SEXOS,Castilla La Mancha,FABRICACIÓN MECÁNICA,95.5,MEDIO
AMBOS SEXOS,Castilla La Mancha,HOSTELERÍA Y TURISMO,94.6,MEDIO
AMBOS SEXOS,Castilla La Mancha,IMAGEN PERSONAL,94.3,MEDIO
AMBOS SEXOS,Castilla La Mancha,IMAGEN Y SONIDO,93.2,MEDIO
AMBOS SEXOS,Castilla La Mancha,INDUSTRIAS ALIMENTARIAS,95.5,MEDIO
