Sexo,Comunidad autónoma,Familia profesional,Porcentajes total de módulos aprobados,nivel_educativo
AMBOS SEXOS,Islas Baleares,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,,BASICO
AMBOS SEXOS,Islas Baleares,"TEXTIL, CONFECCIÓN Y PIEL",,BASICO
AMBOS SEXOS,Islas Baleares,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,78.6,BASICO
AMBOS SEXOS,Islas Baleares,VIDRIO Y CERÁMICA,,BASICO
AMBOS SEXOS,Canarias,ACTIVIDADES FÍSICAS Y DEPORTIVAS,,BASICO
AMBOS SEXOS,Canarias,ADMINISTRACIÓN Y GESTIÓN,66.6,BASICO
AMBOS SEXOS,Canarias,AGRARIA,66.2,BASICO
AMBOS SEXOS,Canarias,ARTES GRÁFICAS,,BASICO
AMBOS SEXOS,Canarias,ARTES Y ARTESANÍAS,,BASICO
AMBOS SEXOS,Canarias,COMERCIO Y MARKETING,72.6,BASICO
AMBOS SEXOS,Canarias,EDIFICACIÓN Y OBRA CIVIL,64.2,BASICO
AMBOS SEXOS,Canarias,ELECTRICIDAD Y ELECTRÓNICA,62.1,BASICO
AMBOS SEXOS,Canarias,ENERGÍA Y AGUA,,BASICO
AMBOS SEXOS,Canarias,FABRICACIÓN MECÁNICA,62.2,BASICO
AMBOS SEXOS,Canarias,HOSTELERÍA Y TURISMO,71.8,BASICO
AMBOS SEXOS,Canarias,IMAGEN PERSONAL,65.9,BASICO
AMBOS SEXOS,Canarias,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,Canarias,INDUSTRIAS ALIMENTARIAS,,BASICO
AMBOS SEXOS,Canarias,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,Canarias,INFORMÁTICA Y COMUNICACIONES,67.4,BASICO
AMBOS SEXOS,Canarias,INSTALACIÓN Y MANTENIMIENTO,65.0,BASICO
AMBOS SEXOS,Canarias,"MADERA, MUEBLE Y CORCHO",68.5,BASICO
AMBOS SEXOS,Canarias,MARÍTIMO-PESQUERA,,BASICO
AMBOS SEXOS,Canarias,QUÍMICA,,BASICO
AMBOS SEXOS,Canarias,SANIDAD,,BASICO
AMBOS SEXOS,Canarias,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
AMBOS SEXOS,Canarias,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,75.1,BASICO
AMBOS SEXOS,Canarias,"TEXTIL, CONFECCIÓN Y PIEL",64.9,BASICO
AMBOS SEXOS,Canarias,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,62.0,BASICO
AMBOS SEXOS,Canarias,VIDRIO Y CERÁMICA,,BASICO
AMBOS SEXOS,Cantabria,ACTIVIDADES FÍSICAS Y DEPORTIVAS,,BASICO
