Sexo,Comunidad autónoma,Familia profesional,Porcentajes total de módulos aprobados,nivel_educativo
AMBOS SEXOS,La Rioja,ACTIVIDADES FÍSICAS Y DEPORTIVAS,61.5,BASICO
AMBOS SEXOS,La Rioja,ADMINISTRACIÓN Y GESTIÓN,70.8,BASICO
AMBOS SEXOS,La Rioja,AGRARIA,66.5,BASICO
AMBOS SEXOS,La Rioja,ARTES GRÁFICAS,,BASICO
AMBOS SEXOS,La Rioja,ARTES Y ARTESANÍAS,,BASICO
AMBOS SEXOS,La Rioja,COMERCIO Y MARKETING,80.4,BASICO
AMBOS SEXOS,La Rioja,EDIFICACIÓN Y OBRA CIVIL,,BASICO
AMBOS SEXOS,La Rioja,ELECTRICIDAD Y ELECTRÓNICA,59.5,BASICO
AMBOS SEXOS,La Rioja,ENERGÍA Y AGUA,,BASICO
AMBOS SEXOS,La Rioja,FABRICACIÓN MECÁNICA,63.4,BASICO
AMBOS SEXOS,La Rioja,HOSTELERÍA Y TURISMO,58.6,BASICO
AMBOS SEXOS,La Rioja,IMAGEN PERSONAL,61.3,BASICO
AMBOS SEXOS,La Rioja,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,La Rioja,INDUSTRIAS ALIMENTARIAS,,BASICO
AMBOS SEXOS,La Rioja,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,La Rioja,INFORMÁTICA Y COMUNICACIONES,61.0,BASICO
AMBOS SEXOS,La Rioja,INSTALACIÓN Y MANTENIMIENTO,,BASICO
AMBOS SEXOS,La Rioja,"MADERA, MUEBLE Y CORCHO",78.2,BASICO
AMBOS SEXOS,La Rioja,MARÍTIMO-PESQUERA,,BASICO
AMBOS SEXOS,La Rioja,QUÍMICA,,BASICO
AMBOS SEXOS,La Rioja,SANIDAD,,BASICO
AMBOS SEXOS,La Rioja,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
AMBOS SEXOS,La Rioja,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,46.9,BASICO
AMBOS SEXOS,La Rioja,"TEXTIL, CONFECCIÓN Y PIEL",85.3,BASICO
AMBOS SEXOS,La Rioja,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,74.7,BASICO
AMBOS SEXOS,La Rioja,VIDRIO Y CERÁMICA,,BASICO
AMBOS SEXOS,Ceuta,ACTIVIDADES FÍSICAS Y DEPORTIVAS,93.0,BASICO
AMBOS SEXOS,Ceuta,ADMINISTRACIÓN Y GESTIÓN,0.0,BASICO
AMBOS SEXOS,Ceuta,AGRARIA,43.3,BASICO
AMBOS SEXOS,Ceuta,ARTES GRÁFICAS,,BASICO
AMBOS SEXOS,Ceuta,ARTES Y ARTESANÍAS,,BASICO
AMBOS SEXOS,Ceuta,COMERCIO Y MARKETING,69.1,BASICO
AMBOS SEXOS,Ceuta,EDIFICACIÓN Y OBRA CIVIL,42.5,BASICO
AMBOS SEXOS,Ceuta,ELECTRICIDAD Y ELECTRÓNICA,58.4,BASICO
AMBOS SEXOS,Ceuta,ENERGÍA Y AGUA,,BASICO
AMBOS SEXOS,Ceuta,FABRICACIÓN MECÁNICA,,BASICO
AMBOS SEXOS,Ceuta,HOSTELERÍA Y TURISMO,37.0,BASICO
AMBOS SEXOS,Ceuta,IMAGEN PERSONAL,72.9,BASICO
AMBOS SEXOS,Ceuta,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,Ceuta,INDUSTRIAS ALIMENTARIAS,,BASICO
AMBOS SEXOS,Ceuta,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,Ceuta,INFORMÁTICA Y COMUNICACIONES,0.0,BASICO
