Sexo;Comunidad autónoma/provincia;Ciclo formativo (1);Total
AMBOS SEXOS;Cádiz;14 INDUSTRIAS ALIMENTARIAS;0
AMBOS SEXOS;Cádiz;Industrias alimentarias;0
AMBOS SEXOS;Cádiz;16 INFORMÁTICA Y COMUNICACIONES;103
AMBOS SEXOS;Cádiz;Informática de oficina;15
AMBOS SEXOS;Cádiz;Informática y comunicaciones;88
AMBOS SEXOS;Cádiz;17 INSTALACIÓN Y MANTENIMIENTO;0
AMBOS SEXOS;Cádiz;Mantenimiento de viviendas;0
AMBOS SEXOS;Cádiz;18 MADERA, MUEBLE Y CORCHO;19
AMBOS SEXOS;Cádiz;Carpintería y mueble;19
AMBOS SEXOS;Cádiz;19 MARÍTIMO-PESQUERA;0
AMBOS SEXOS;Cádiz;Actividades marítimo-pesqueras;0
AMBOS SEXOS;Cádiz;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;4
AMBOS SEXOS;Cádiz;Actividades domésticas y limpieza de edificios;4
AMBOS SEXOS;Cádiz;24 TEXTIL, CONFECCIÓN Y PIEL;0
AMBOS SEXOS;Cádiz;Arreglo y reparación de artículos textiles y de piel;0
AMBOS SEXOS;Cádiz;Tapicería y cortinaje;0
AMBOS SEXOS;Cádiz;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;37
AMBOS SEXOS;Cádiz;Mantenimiento de embarcaciones deportivas y de recreo;0
AMBOS SEXOS;Cádiz;Mantenimiento de vehículos;37
AMBOS SEXOS;Cádiz;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;Cádiz;Vidriería y alfarería;0
AMBOS SEXOS;Córdoba;00 TOTAL;464
AMBOS SEXOS;Córdoba;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;0
AMBOS SEXOS;Córdoba;Acceso y Conservación en Instalaciones Deportivas;0
AMBOS SEXOS;Córdoba;02 ADMINISTRACIÓN Y GESTIÓN;102
AMBOS SEXOS;Córdoba;Servicios administrativos;102
AMBOS SEXOS;Córdoba;03 AGRARIA;41
AMBOS SEXOS;Córdoba;Actividades agropecuarias;0
AMBOS SEXOS;Córdoba;Agro-jardinería y composiciones florales;41
AMBOS SEXOS;Córdoba;Aprovechamientos forestales;0
AMBOS SEXOS;Córdoba;04 ARTES GRÁFICAS;0
AMBOS SEXOS;Córdoba;Artes gráficas;0
AMBOS SEXOS;Córdoba;06 COMERCIO Y MARKETING;5
AMBOS SEXOS;Córdoba;Servicios comerciales;5
AMBOS SEXOS;Córdoba;07 EDIFICACIÓN Y OBRA CIVIL;0
AMBOS SEXOS;Córdoba;Reforma y mantenimiento de edificios;0
AMBOS SEXOS;Córdoba;08 ELECTRICIDAD Y ELECTRÓNICA;77
AMBOS SEXOS;Córdoba;Electricidad y electrónica;77
AMBOS SEXOS;Córdoba;Instalaciones electrotécnicas y mecánica;0
AMBOS SEXOS;Córdoba;10 FABRICACIÓN MECÁNICA;25
AMBOS SEXOS;Córdoba;Fabricación de elementos metálicos;0
AMBOS SEXOS;Córdoba;Fabricación y montaje;25
AMBOS SEXOS;Córdoba;11 HOSTELERÍA Y TURISMO;19
AMBOS SEXOS;Córdoba;Actividades de panadería y pastelería;0
AMBOS SEXOS;Córdoba;Alojamiento y lavandería;0
AMBOS SEXOS;Córdoba;Cocina y restauración;19
AMBOS SEXOS;Córdoba;12 IMAGEN PERSONAL;29
AMBOS SEXOS;Córdoba;Peluquería y estética;29
AMBOS SEXOS;Córdoba;14 INDUSTRIAS ALIMENTARIAS;25
AMBOS SEXOS;Córdoba;Industrias alimentarias;25
AMBOS SEXOS;Córdoba;16 INFORMÁTICA Y COMUNICACIONES;89
