Sexo;Comunidad autónoma/provincia;Ciclo formativo (1);Total
Hombres;11 EXTREMADURA;Actividades domésticas y limpieza de edificios;5
Hombres;11 EXTREMADURA;24 TEXTIL, CONFECCIÓN Y PIEL;0
Hombres;11 EXTREMADURA;Arreglo y reparación de artículos textiles y de piel;0
Hombres;11 EXTREMADURA;Tapicería y cortinaje;0
Hombres;11 EXTREMADURA;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;55
Hombres;11 EXTREMADURA;Mantenimiento de embarcaciones deportivas y de recreo;0
Hombres;11 EXTREMADURA;Mantenimiento de vehículos;55
Hombres;11 EXTREMADURA;26 VIDRIO Y CERÁMICA;0
Hombres;11 EXTREMADURA;Vidriería y alfarería;0
Hombres;Badajoz;00 TOTAL;282
Hombres;Badajoz;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;0
Hombres;Badajoz;Acceso y Conservación en Instalaciones Deportivas;0
Hombres;Badajoz;02 ADMINISTRACIÓN Y GESTIÓN;26
Hombres;Badajoz;Servicios administrativos;26
Hombres;Badajoz;03 AGRARIA;43
Hombres;Badajoz;Actividades agropecuarias;2
Hombres;Badajoz;Agro-jardinería y composiciones florales;35
Hombres;Badajoz;Aprovechamientos forestales;6
Hombres;Badajoz;04 ARTES GRÁFICAS;3
Hombres;Badajoz;Artes gráficas;3
Hombres;Badajoz;06 COMERCIO Y MARKETING;18
Hombres;Badajoz;Servicios comerciales;18
Hombres;Badajoz;07 EDIFICACIÓN Y OBRA CIVIL;2
Hombres;Badajoz;Reforma y mantenimiento de edificios;2
Hombres;Badajoz;08 ELECTRICIDAD Y ELECTRÓNICA;44
Hombres;Badajoz;Electricidad y electrónica;44
Hombres;Badajoz;Instalaciones electrotécnicas y mecánica;0
Hombres;Badajoz;10 FABRICACIÓN MECÁNICA;33
Hombres;Badajoz;Fabricación de elementos metálicos;0
Hombres;Badajoz;Fabricación y montaje;33
Hombres;Badajoz;11 HOSTELERÍA Y TURISMO;9
Hombres;Badajoz;Actividades de panadería y pastelería;0
Hombres;Badajoz;Alojamiento y lavandería;0
Hombres;Badajoz;Cocina y restauración;9
Hombres;Badajoz;12 IMAGEN PERSONAL;7
Hombres;Badajoz;Peluquería y estética;7
Hombres;Badajoz;14 INDUSTRIAS ALIMENTARIAS;7
Hombres;Badajoz;Industrias alimentarias;7
Hombres;Badajoz;16 INFORMÁTICA Y COMUNICACIONES;45
Hombres;Badajoz;Informática de oficina;11
Hombres;Badajoz;Informática y comunicaciones;34
Hombres;Badajoz;17 INSTALACIÓN Y MANTENIMIENTO;0
Hombres;Badajoz;Mantenimiento de viviendas;0
Hombres;Badajoz;18 MADERA, MUEBLE Y CORCHO;10
Hombres;Badajoz;Carpintería y mueble;10
Hombres;Badajoz;19 MARÍTIMO-PESQUERA;0
Hombres;Badajoz;Actividades marítimo-pesqueras;0
Hombres;Badajoz;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;5
Hombres;Badajoz;Actividades domésticas y limpieza de edificios;5
Hombres;Badajoz;24 TEXTIL, CONFECCIÓN Y PIEL;0
Hombres;Badajoz;Arreglo y reparación de artículos textiles y de piel;0
Hombres;Badajoz;Tapicería y cortinaje;0
Hombres;Badajoz;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;30
Hombres;Badajoz;Mantenimiento de embarcaciones deportivas y de recreo;0
Hombres;Badajoz;Mantenimiento de vehículos;30
Hombres;Badajoz;26 VIDRIO Y CERÁMICA;0
Hombres;Badajoz;Vidriería y alfarería;0
Hombres;Cáceres;00 TOTAL;155
Hombres;Cáceres;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;0
Hombres;Cáceres;Acceso y Conservación en Instalaciones Deportivas;0
Hombres;Cáceres;02 ADMINISTRACIÓN Y GESTIÓN;27
Hombres;Cáceres;Servicios administrativos;27
Hombres;Cáceres;03 AGRARIA;16
Hombres;Cáceres;Actividades agropecuarias;4
Hombres;Cáceres;Agro-jardinería y composiciones florales;8
Hombres;Cáceres;Aprovechamientos forestales;4
Hombres;Cáceres;04 ARTES GRÁFICAS;2
Hombres;Cáceres;Artes gráficas;2
Hombres;Cáceres;06 COMERCIO Y MARKETING;3
Hombres;Cáceres;Servicios comerciales;3
Hombres;Cáceres;07 EDIFICACIÓN Y OBRA CIVIL;3
Hombres;Cáceres;Reforma y mantenimiento de edificios;3
Hombres;Cáceres;08 ELECTRICIDAD Y ELECTRÓNICA;18
Hombres;Cáceres;Electricidad y electrónica;18
Hombres;Cáceres;Instalaciones electrotécnicas y mecánica;0
Hombres;Cáceres;10 FABRICACIÓN MECÁNICA;4
Hombres;Cáceres;Fabricación de elementos metálicos;0
Hombres;Cáceres;Fabricación y montaje;4
Hombres;Cáceres;11 HOSTELERÍA Y TURISMO;12
Hombres;Cáceres;Actividades de panadería y pastelería;0
Hombres;Cáceres;Alojamiento y lavandería;0
Hombres;Cáceres;Cocina y restauración;12
Hombres;Cáceres;12 IMAGEN PERSONAL;2
Hombres;Cáceres;Peluquería y estética;2
Hombres;Cáceres;14 INDUSTRIAS ALIMENTARIAS;11
Hombres;Cáceres;Industrias alimentarias;11
Hombres;Cáceres;16 INFORMÁTICA Y COMUNICACIONES;27
Hombres;Cáceres;Informática de oficina;16
Hombres;Cáceres;Informática y comunicaciones;11
Hombres;Cáceres;17 INSTALACIÓN Y MANTENIMIENTO;0
Hombres;Cáceres;Mantenimiento de viviendas;0
Hombres;Cáceres;18 MADERA, MUEBLE Y CORCHO;5
Hombres;Cáceres;Carpintería y mueble;5
Hombres;Cáceres;19 MARÍTIMO-PESQUERA;0
Hombres;Cáceres;Actividades marítimo-pesqueras;0
Hombres;Cáceres;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;0
Hombres;Cáceres;Actividades domésticas y limpieza de edificios;0
Hombres;Cáceres;24 TEXTIL, CONFECCIÓN Y PIEL;0
Hombres;Cáceres;Arreglo y reparación de artículos textiles y de piel;0
Hombres;Cáceres;Tapicería y cortinaje;0
Hombres;Cáceres;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;25
Hombres;Cáceres;Mantenimiento de embarcaciones deportivas y de recreo;0
Hombres;Cáceres;Mantenimiento de vehículos;25
Hombres;Cáceres;26 VIDRIO Y CERÁMICA;0
Hombres;Cáceres;Vidriería y alfarería;0
Hombres;12 GALICIA;00 TOTAL;996
Hombres;12 GALICIA;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;0
Hombres;12 GALICIA;Acceso y Conservación en Instalaciones Deportivas;0
Hombres;12 GALICIA;02 ADMINISTRACIÓN Y GESTIÓN;98
Hombres;12 GALICIA;Servicios administrativos;98
Hombres;12 GALICIA;03 AGRARIA;26
Hombres;12 GALICIA;Actividades agropecuarias;0
Hombres;12 GALICIA;Agro-jardinería y composiciones florales;26
Hombres;12 GALICIA;Aprovechamientos forestales;0
Hombres;12 GALICIA;04 ARTES GRÁFICAS;16
Hombres;12 GALICIA;Artes gráficas;16
Hombres;12 GALICIA;06 COMERCIO Y MARKETING;27
Hombres;12 GALICIA;Servicios comerciales;27
Hombres;12 GALICIA;07 EDIFICACIÓN Y OBRA CIVIL;5
Hombres;12 GALICIA;Reforma y mantenimiento de edificios;5
Hombres;12 GALICIA;08 ELECTRICIDAD Y ELECTRÓNICA;176
Hombres;12 GALICIA;Electricidad y electrónica;171
Hombres;12 GALICIA;Instalaciones electrotécnicas y mecánica;5
Hombres;12 GALICIA;10 FABRICACIÓN MECÁNICA;93
Hombres;12 GALICIA;Fabricación de elementos metálicos;0
Hombres;12 GALICIA;Fabricación y montaje;93
Hombres;12 GALICIA;11 HOSTELERÍA Y TURISMO;47
Hombres;12 GALICIA;Actividades de panadería y pastelería;2
Hombres;12 GALICIA;Alojamiento y lavandería;4
Hombres;12 GALICIA;Cocina y restauración;41
Hombres;12 GALICIA;12 IMAGEN PERSONAL;20
Hombres;12 GALICIA;Peluquería y estética;20
Hombres;12 GALICIA;14 INDUSTRIAS ALIMENTARIAS;11
Hombres;12 GALICIA;Industrias alimentarias;11
Hombres;12 GALICIA;16 INFORMÁTICA Y COMUNICACIONES;239
Hombres;12 GALICIA;Informática de oficina;148
Hombres;12 GALICIA;Informática y comunicaciones;91
Hombres;12 GALICIA;17 INSTALACIÓN Y MANTENIMIENTO;3
Hombres;12 GALICIA;Mantenimiento de viviendas;3
Hombres;12 GALICIA;18 MADERA, MUEBLE Y CORCHO;49
Hombres;12 GALICIA;Carpintería y mueble;49
Hombres;12 GALICIA;19 MARÍTIMO-PESQUERA;1
Hombres;12 GALICIA;Actividades marítimo-pesqueras;1
Hombres;12 GALICIA;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;4
Hombres;12 GALICIA;Actividades domésticas y limpieza de edificios;4
Hombres;12 GALICIA;24 TEXTIL, CONFECCIÓN Y PIEL;6
Hombres;12 GALICIA;Arreglo y reparación de artículos textiles y de piel;2
Hombres;12 GALICIA;Tapicería y cortinaje;4
Hombres;12 GALICIA;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;175
Hombres;12 GALICIA;Mantenimiento de embarcaciones deportivas y de recreo;8
Hombres;12 GALICIA;Mantenimiento de vehículos;167
Hombres;12 GALICIA;26 VIDRIO Y CERÁMICA;0
Hombres;12 GALICIA;Vidriería y alfarería;0
Hombres;A Coruña;00 TOTAL;352
Hombres;A Coruña;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;0
Hombres;A Coruña;Acceso y Conservación en Instalaciones Deportivas;0
Hombres;A Coruña;02 ADMINISTRACIÓN Y GESTIÓN;35
Hombres;A Coruña;Servicios administrativos;35
Hombres;A Coruña;03 AGRARIA;11
Hombres;A Coruña;Actividades agropecuarias;0
Hombres;A Coruña;Agro-jardinería y composiciones florales;11
Hombres;A Coruña;Aprovechamientos forestales;0
Hombres;A Coruña;04 ARTES GRÁFICAS;9
Hombres;A Coruña;Artes gráficas;9
Hombres;A Coruña;06 COMERCIO Y MARKETING;8
Hombres;A Coruña;Servicios comerciales;8
Hombres;A Coruña;07 EDIFICACIÓN Y OBRA CIVIL;5
Hombres;A Coruña;Reforma y mantenimiento de edificios;5
Hombres;A Coruña;08 ELECTRICIDAD Y ELECTRÓNICA;56
Hombres;A Coruña;Electricidad y electrónica;56
Hombres;A Coruña;Instalaciones electrotécnicas y mecánica;0
Hombres;A Coruña;10 FABRICACIÓN MECÁNICA;34
Hombres;A Coruña;Fabricación de elementos metálicos;0
Hombres;A Coruña;Fabricación y montaje;34
Hombres;A Coruña;11 HOSTELERÍA Y TURISMO;21
Hombres;A Coruña;Actividades de panadería y pastelería;0
Hombres;A Coruña;Alojamiento y lavandería;4
Hombres;A Coruña;Cocina y restauración;17
Hombres;A Coruña;12 IMAGEN PERSONAL;11
Hombres;A Coruña;Peluquería y estética;11
Hombres;A Coruña;14 INDUSTRIAS ALIMENTARIAS;5
Hombres;A Coruña;Industrias alimentarias;5
Hombres;A Coruña;16 INFORMÁTICA Y COMUNICACIONES;67
Hombres;A Coruña;Informática de oficina;42
Hombres;A Coruña;Informática y comunicaciones;25
Hombres;A Coruña;17 INSTALACIÓN Y MANTENIMIENTO;0
Hombres;A Coruña;Mantenimiento de viviendas;0
Hombres;A Coruña;18 MADERA, MUEBLE Y CORCHO;32
Hombres;A Coruña;Carpintería y mueble;32
Hombres;A Coruña;19 MARÍTIMO-PESQUERA;0
Hombres;A Coruña;Actividades marítimo-pesqueras;0
Hombres;A Coruña;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;0
Hombres;A Coruña;Actividades domésticas y limpieza de edificios;0
Hombres;A Coruña;24 TEXTIL, CONFECCIÓN Y PIEL;0
Hombres;A Coruña;Arreglo y reparación de artículos textiles y de piel;0
Hombres;A Coruña;Tapicería y cortinaje;0
Hombres;A Coruña;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;58
Hombres;A Coruña;Mantenimiento de embarcaciones deportivas y de recreo;8
Hombres;A Coruña;Mantenimiento de vehículos;50
Hombres;A Coruña;26 VIDRIO Y CERÁMICA;0
Hombres;A Coruña;Vidriería y alfarería;0
Hombres;Lugo;00 TOTAL;93
Hombres;Lugo;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;0
Hombres;Lugo;Acceso y Conservación en Instalaciones Deportivas;0
Hombres;Lugo;02 ADMINISTRACIÓN Y GESTIÓN;11
Hombres;Lugo;Servicios administrativos;11
Hombres;Lugo;03 AGRARIA;0
Hombres;Lugo;Actividades agropecuarias;0
Hombres;Lugo;Agro-jardinería y composiciones florales;0
Hombres;Lugo;Aprovechamientos forestales;0
Hombres;Lugo;04 ARTES GRÁFICAS;0
Hombres;Lugo;Artes gráficas;0
Hombres;Lugo;06 COMERCIO Y MARKETING;0
Hombres;Lugo;Servicios comerciales;0
Hombres;Lugo;07 EDIFICACIÓN Y OBRA CIVIL;0
Hombres;Lugo;Reforma y mantenimiento de edificios;0
Hombres;Lugo;08 ELECTRICIDAD Y ELECTRÓNICA;7
Hombres;Lugo;Electricidad y electrónica;7
Hombres;Lugo;Instalaciones electrotécnicas y mecánica;0
Hombres;Lugo;10 FABRICACIÓN MECÁNICA;22
Hombres;Lugo;Fabricación de elementos metálicos;0
Hombres;Lugo;Fabricación y montaje;22
Hombres;Lugo;11 HOSTELERÍA Y TURISMO;5
Hombres;Lugo;Actividades de panadería y pastelería;0
Hombres;Lugo;Alojamiento y lavandería;0
Hombres;Lugo;Cocina y restauración;5
Hombres;Lugo;12 IMAGEN PERSONAL;1
Hombres;Lugo;Peluquería y estética;1
Hombres;Lugo;14 INDUSTRIAS ALIMENTARIAS;0
Hombres;Lugo;Industrias alimentarias;0
Hombres;Lugo;16 INFORMÁTICA Y COMUNICACIONES;17
Hombres;Lugo;Informática de oficina;17
Hombres;Lugo;Informática y comunicaciones;0
Hombres;Lugo;17 INSTALACIÓN Y MANTENIMIENTO;0
Hombres;Lugo;Mantenimiento de viviendas;0
Hombres;Lugo;18 MADERA, MUEBLE Y CORCHO;1
Hombres;Lugo;Carpintería y mueble;1
Hombres;Lugo;19 MARÍTIMO-PESQUERA;0
Hombres;Lugo;Actividades marítimo-pesqueras;0
Hombres;Lugo;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;0
Hombres;Lugo;Actividades domésticas y limpieza de edificios;0
Hombres;Lugo;24 TEXTIL, CONFECCIÓN Y PIEL;0
Hombres;Lugo;Arreglo y reparación de artículos textiles y de piel;0
Hombres;Lugo;Tapicería y cortinaje;0
Hombres;Lugo;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;29
Hombres;Lugo;Mantenimiento de embarcaciones deportivas y de recreo;0
Hombres;Lugo;Mantenimiento de vehículos;29
Hombres;Lugo;26 VIDRIO Y CERÁMICA;0
Hombres;Lugo;Vidriería y alfarería;0
Hombres;Ourense;00 TOTAL;126
Hombres;Ourense;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;0
Hombres;Ourense;Acceso y Conservación en Instalaciones Deportivas;0
Hombres;Ourense;02 ADMINISTRACIÓN Y GESTIÓN;23
Hombres;Ourense;Servicios administrativos;23
Hombres;Ourense;03 AGRARIA;0
Hombres;Ourense;Actividades agropecuarias;0
Hombres;Ourense;Agro-jardinería y composiciones florales;0
Hombres;Ourense;Aprovechamientos forestales;0
Hombres;Ourense;04 ARTES GRÁFICAS;0
Hombres;Ourense;Artes gráficas;0
Hombres;Ourense;06 COMERCIO Y MARKETING;0
Hombres;Ourense;Servicios comerciales;0
Hombres;Ourense;07 EDIFICACIÓN Y OBRA CIVIL;0
Hombres;Ourense;Reforma y mantenimiento de edificios;0
Hombres;Ourense;08 ELECTRICIDAD Y ELECTRÓNICA;17
Hombres;Ourense;Electricidad y electrónica;17
Hombres;Ourense;Instalaciones electrotécnicas y mecánica;0
Hombres;Ourense;10 FABRICACIÓN MECÁNICA;3
Hombres;Ourense;Fabricación de elementos metálicos;0
Hombres;Ourense;Fabricación y montaje;3
Hombres;Ourense;11 HOSTELERÍA Y TURISMO;8
Hombres;Ourense;Actividades de panadería y pastelería;2
Hombres;Ourense;Alojamiento y lavandería;0
Hombres;Ourense;Cocina y restauración;6
Hombres;Ourense;12 IMAGEN PERSONAL;3
Hombres;Ourense;Peluquería y estética;3
Hombres;Ourense;14 INDUSTRIAS ALIMENTARIAS;6
Hombres;Ourense;Industrias alimentarias;6
Hombres;Ourense;16 INFORMÁTICA Y COMUNICACIONES;40
Hombres;Ourense;Informática de oficina;26
Hombres;Ourense;Informática y comunicaciones;14
Hombres;Ourense;17 INSTALACIÓN Y MANTENIMIENTO;0
Hombres;Ourense;Mantenimiento de viviendas;0
Hombres;Ourense;18 MADERA, MUEBLE Y CORCHO;0
Hombres;Ourense;Carpintería y mueble;0
Hombres;Ourense;19 MARÍTIMO-PESQUERA;0
Hombres;Ourense;Actividades marítimo-pesqueras;0
Hombres;Ourense;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;0
Hombres;Ourense;Actividades domésticas y limpieza de edificios;0
Hombres;Ourense;24 TEXTIL, CONFECCIÓN Y PIEL;0
Hombres;Ourense;Arreglo y reparación de artículos textiles y de piel;0
Hombres;Ourense;Tapicería y cortinaje;0
Hombres;Ourense;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;26
Hombres;Ourense;Mantenimiento de embarcaciones deportivas y de recreo;0
Hombres;Ourense;Mantenimiento de vehículos;26
Hombres;Ourense;26 VIDRIO Y CERÁMICA;0
Hombres;Ourense;Vidriería y alfarería;0
Hombres;Pontevedra;00 TOTAL;425
Hombres;Pontevedra;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;0
Hombres;Pontevedra;Acceso y Conservación en Instalaciones Deportivas;0
Hombres;Pontevedra;02 ADMINISTRACIÓN Y GESTIÓN;29
Hombres;Pontevedra;Servicios administrativos;29
Hombres;Pontevedra;03 AGRARIA;15
Hombres;Pontevedra;Actividades agropecuarias;0
Hombres;Pontevedra;Agro-jardinería y composiciones florales;15
Hombres;Pontevedra;Aprovechamientos forestales;0
Hombres;Pontevedra;04 ARTES GRÁFICAS;7
Hombres;Pontevedra;Artes gráficas;7
Hombres;Pontevedra;06 COMERCIO Y MARKETING;19
Hombres;Pontevedra;Servicios comerciales;19
Hombres;Pontevedra;07 EDIFICACIÓN Y OBRA CIVIL;0
Hombres;Pontevedra;Reforma y mantenimiento de edificios;0
Hombres;Pontevedra;08 ELECTRICIDAD Y ELECTRÓNICA;96
Hombres;Pontevedra;Electricidad y electrónica;91
Hombres;Pontevedra;Instalaciones electrotécnicas y mecánica;5
Hombres;Pontevedra;10 FABRICACIÓN MECÁNICA;34
Hombres;Pontevedra;Fabricación de elementos metálicos;0
Hombres;Pontevedra;Fabricación y montaje;34
Hombres;Pontevedra;11 HOSTELERÍA Y TURISMO;13
Hombres;Pontevedra;Actividades de panadería y pastelería;0
Hombres;Pontevedra;Alojamiento y lavandería;0
Hombres;Pontevedra;Cocina y restauración;13
Hombres;Pontevedra;12 IMAGEN PERSONAL;5
Hombres;Pontevedra;Peluquería y estética;5
Hombres;Pontevedra;14 INDUSTRIAS ALIMENTARIAS;0
Hombres;Pontevedra;Industrias alimentarias;0
Hombres;Pontevedra;16 INFORMÁTICA Y COMUNICACIONES;115
Hombres;Pontevedra;Informática de oficina;63
Hombres;Pontevedra;Informática y comunicaciones;52
Hombres;Pontevedra;17 INSTALACIÓN Y MANTENIMIENTO;3
Hombres;Pontevedra;Mantenimiento de viviendas;3
Hombres;Pontevedra;18 MADERA, MUEBLE Y CORCHO;16
Hombres;Pontevedra;Carpintería y mueble;16
Hombres;Pontevedra;19 MARÍTIMO-PESQUERA;1
Hombres;Pontevedra;Actividades marítimo-pesqueras;1
Hombres;Pontevedra;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;4
Hombres;Pontevedra;Actividades domésticas y limpieza de edificios;4
Hombres;Pontevedra;24 TEXTIL, CONFECCIÓN Y PIEL;6
Hombres;Pontevedra;Arreglo y reparación de artículos textiles y de piel;2
Hombres;Pontevedra;Tapicería y cortinaje;4
Hombres;Pontevedra;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;62
Hombres;Pontevedra;Mantenimiento de embarcaciones deportivas y de recreo;0
Hombres;Pontevedra;Mantenimiento de vehículos;62
Hombres;Pontevedra;26 VIDRIO Y CERÁMICA;0
Hombres;Pontevedra;Vidriería y alfarería;0
Hombres;13 MADRID, COMUNIDAD DE;00 TOTAL;1.631
Hombres;13 MADRID, COMUNIDAD DE;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;0
Hombres;13 MADRID, COMUNIDAD DE;Acceso y Conservación en Instalaciones Deportivas;0
Hombres;13 MADRID, COMUNIDAD DE;02 ADMINISTRACIÓN Y GESTIÓN;179
Hombres;13 MADRID, COMUNIDAD DE;Servicios administrativos;179
Hombres;13 MADRID, COMUNIDAD DE;03 AGRARIA;35
Hombres;13 MADRID, COMUNIDAD DE;Actividades agropecuarias;0
Hombres;13 MADRID, COMUNIDAD DE;Agro-jardinería y composiciones florales;35
Hombres;13 MADRID, COMUNIDAD DE;Aprovechamientos forestales;0
Hombres;13 MADRID, COMUNIDAD DE;04 ARTES GRÁFICAS;42
Hombres;13 MADRID, COMUNIDAD DE;Artes gráficas;42
Hombres;13 MADRID, COMUNIDAD DE;06 COMERCIO Y MARKETING;83
Hombres;13 MADRID, COMUNIDAD DE;Servicios comerciales;83
Hombres;13 MADRID, COMUNIDAD DE;07 EDIFICACIÓN Y OBRA CIVIL;0
Hombres;13 MADRID, COMUNIDAD DE;Reforma y mantenimiento de edificios;0
Hombres;13 MADRID, COMUNIDAD DE;08 ELECTRICIDAD Y ELECTRÓNICA;266
Hombres;13 MADRID, COMUNIDAD DE;Electricidad y electrónica;248
Hombres;13 MADRID, COMUNIDAD DE;Instalaciones electrotécnicas y mecánica;18
Hombres;13 MADRID, COMUNIDAD DE;10 FABRICACIÓN MECÁNICA;45
Hombres;13 MADRID, COMUNIDAD DE;Fabricación de elementos metálicos;0
Hombres;13 MADRID, COMUNIDAD DE;Fabricación y montaje;45
Hombres;13 MADRID, COMUNIDAD DE;11 HOSTELERÍA Y TURISMO;137
Hombres;13 MADRID, COMUNIDAD DE;Actividades de panadería y pastelería;12
Hombres;13 MADRID, COMUNIDAD DE;Alojamiento y lavandería;10
Hombres;13 MADRID, COMUNIDAD DE;Cocina y restauración;115
Hombres;13 MADRID, COMUNIDAD DE;12 IMAGEN PERSONAL;47
Hombres;13 MADRID, COMUNIDAD DE;Peluquería y estética;47
Hombres;13 MADRID, COMUNIDAD DE;14 INDUSTRIAS ALIMENTARIAS;0
Hombres;13 MADRID, COMUNIDAD DE;Industrias alimentarias;0
Hombres;13 MADRID, COMUNIDAD DE;16 INFORMÁTICA Y COMUNICACIONES;490
Hombres;13 MADRID, COMUNIDAD DE;Informática de oficina;123
Hombres;13 MADRID, COMUNIDAD DE;Informática y comunicaciones;367
Hombres;13 MADRID, COMUNIDAD DE;17 INSTALACIÓN Y MANTENIMIENTO;0
Hombres;13 MADRID, COMUNIDAD DE;Mantenimiento de viviendas;0
Hombres;13 MADRID, COMUNIDAD DE;18 MADERA, MUEBLE Y CORCHO;28
Hombres;13 MADRID, COMUNIDAD DE;Carpintería y mueble;28
Hombres;13 MADRID, COMUNIDAD DE;19 MARÍTIMO-PESQUERA;0
Hombres;13 MADRID, COMUNIDAD DE;Actividades marítimo-pesqueras;0
Hombres;13 MADRID, COMUNIDAD DE;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;0
Hombres;13 MADRID, COMUNIDAD DE;Actividades domésticas y limpieza de edificios;0
Hombres;13 MADRID, COMUNIDAD DE;24 TEXTIL, CONFECCIÓN Y PIEL;0
Hombres;13 MADRID, COMUNIDAD DE;Arreglo y reparación de artículos textiles y de piel;0
Hombres;13 MADRID, COMUNIDAD DE;Tapicería y cortinaje;0
Hombres;13 MADRID, COMUNIDAD DE;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;279
Hombres;13 MADRID, COMUNIDAD DE;Mantenimiento de embarcaciones deportivas y de recreo;0
Hombres;13 MADRID, COMUNIDAD DE;Mantenimiento de vehículos;279
Hombres;13 MADRID, COMUNIDAD DE;26 VIDRIO Y CERÁMICA;0
Hombres;13 MADRID, COMUNIDAD DE;Vidriería y alfarería;0
Hombres;14 MURCIA, REGIÓN DE;00 TOTAL;841
Hombres;14 MURCIA, REGIÓN DE;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;0
Hombres;14 MURCIA, REGIÓN DE;Acceso y Conservación en Instalaciones Deportivas;0
Hombres;14 MURCIA, REGIÓN DE;02 ADMINISTRACIÓN Y GESTIÓN;147
Hombres;14 MURCIA, REGIÓN DE;Servicios administrativos;147
Hombres;14 MURCIA, REGIÓN DE;03 AGRARIA;31
Hombres;14 MURCIA, REGIÓN DE;Actividades agropecuarias;0
Hombres;14 MURCIA, REGIÓN DE;Agro-jardinería y composiciones florales;31
Hombres;14 MURCIA, REGIÓN DE;Aprovechamientos forestales;0
Hombres;14 MURCIA, REGIÓN DE;04 ARTES GRÁFICAS;11
Hombres;14 MURCIA, REGIÓN DE;Artes gráficas;11
Hombres;14 MURCIA, REGIÓN DE;06 COMERCIO Y MARKETING;78
Hombres;14 MURCIA, REGIÓN DE;Servicios comerciales;78
Hombres;14 MURCIA, REGIÓN DE;07 EDIFICACIÓN Y OBRA CIVIL;0
Hombres;14 MURCIA, REGIÓN DE;Reforma y mantenimiento de edificios;0
Hombres;14 MURCIA, REGIÓN DE;08 ELECTRICIDAD Y ELECTRÓNICA;145
Hombres;14 MURCIA, REGIÓN DE;Electricidad y electrónica;145
Hombres;14 MURCIA, REGIÓN DE;Instalaciones electrotécnicas y mecánica;0
Hombres;14 MURCIA, REGIÓN DE;10 FABRICACIÓN MECÁNICA;53
Hombres;14 MURCIA, REGIÓN DE;Fabricación de elementos metálicos;7
Hombres;14 MURCIA, REGIÓN DE;Fabricación y montaje;46
Hombres;14 MURCIA, REGIÓN DE;11 HOSTELERÍA Y TURISMO;73
Hombres;14 MURCIA, REGIÓN DE;Actividades de panadería y pastelería;9
Hombres;14 MURCIA, REGIÓN DE;Alojamiento y lavandería;20
Hombres;14 MURCIA, REGIÓN DE;Cocina y restauración;44
Hombres;14 MURCIA, REGIÓN DE;12 IMAGEN PERSONAL;31
Hombres;14 MURCIA, REGIÓN DE;Peluquería y estética;31
Hombres;14 MURCIA, REGIÓN DE;14 INDUSTRIAS ALIMENTARIAS;3
Hombres;14 MURCIA, REGIÓN DE;Industrias alimentarias;3
Hombres;14 MURCIA, REGIÓN DE;16 INFORMÁTICA Y COMUNICACIONES;130
Hombres;14 MURCIA, REGIÓN DE;Informática de oficina;64
Hombres;14 MURCIA, REGIÓN DE;Informática y comunicaciones;66
Hombres;14 MURCIA, REGIÓN DE;17 INSTALACIÓN Y MANTENIMIENTO;7
Hombres;14 MURCIA, REGIÓN DE;Mantenimiento de viviendas;7
Hombres;14 MURCIA, REGIÓN DE;18 MADERA, MUEBLE Y CORCHO;8
Hombres;14 MURCIA, REGIÓN DE;Carpintería y mueble;8
Hombres;14 MURCIA, REGIÓN DE;19 MARÍTIMO-PESQUERA;0
Hombres;14 MURCIA, REGIÓN DE;Actividades marítimo-pesqueras;0
Hombres;14 MURCIA, REGIÓN DE;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;0
Hombres;14 MURCIA, REGIÓN DE;Actividades domésticas y limpieza de edificios;0
Hombres;14 MURCIA, REGIÓN DE;24 TEXTIL, CONFECCIÓN Y PIEL;5
Hombres;14 MURCIA, REGIÓN DE;Arreglo y reparación de artículos textiles y de piel;5
