Sexo,Comunidad autónoma/provincia,Ciclo formativo,Total,nivel_ciclo
AMBOS SEXOS,Almería,02 ADMINISTRACIÓN Y GESTIÓN,3.732,SUPERIOR
AMBOS SEXOS,Almería,Administración y finanzas,3.215,SUPERIOR
AMBOS SEXOS,Almería,Asistencia a la dirección,517.0,SUPERIOR
AMBOS SEXOS,Almería,03 AGRARIA,608.0,SUPERIOR
AMBOS SEXOS,Almería,Ganadería y asistencia en sanidad animal,85.0,SUPERIOR
AMBOS SEXOS,Almería,Gestión forestal y del medio natural,291.0,SUPERIOR
AMBOS SEXOS,Almería,Paisajismo y medio rural,232.0,SUPERIOR
AMBOS SEXOS,Almería,04 ARTES GRÁFICAS,116.0,SUPERIOR
AMBOS SEXOS,Almería,Diseño y edición de publicaciones impresas y multimedia,98.0,SUPERIOR
AMBOS SEXOS,Almería,Diseño y gestión de la producción gráfica,18.0,SUPERIOR
AMBOS SEXOS,Almería,05 ARTES Y ARTESANÍAS,0.0,SUPERIOR
AMBOS SEXOS,Almería,Artista fallero y construcción de escenografías,0.0,SUPERIOR
AMBOS SEXOS,Almería,06 COMERCIO Y MARKETING,1.416,SUPERIOR
AMBOS SEXOS,Almería,Comercio internacional,411.0,SUPERIOR
AMBOS SEXOS,Almería,Gestión de ventas y espacios comerciales,330.0,SUPERIOR
AMBOS SEXOS,Almería,Marketing y publicidad,483.0,SUPERIOR
AMBOS SEXOS,Almería,Transporte y logística,192.0,SUPERIOR
AMBOS SEXOS,Almería,07 EDIFICACIÓN Y OBRA CIVIL,240.0,SUPERIOR
AMBOS SEXOS,Almería,Organización y control de obras de construcción,19.0,SUPERIOR
AMBOS SEXOS,Almería,Proyectos de edificación,154.0,SUPERIOR
AMBOS SEXOS,Almería,Proyectos de obra civil,67.0,SUPERIOR
AMBOS SEXOS,Almería,08 ELECTRICIDAD Y ELECTRÓNICA,1.134,SUPERIOR
AMBOS SEXOS,Cádiz,Automatización y robótica industrial,241.0,SUPERIOR
AMBOS SEXOS,Cádiz,Electromedicina clínica,11.0,SUPERIOR
AMBOS SEXOS,Cádiz,Mantenimiento electrónico,157.0,SUPERIOR
AMBOS SEXOS,Cádiz,Sistemas de telecomunicaciones e informáticos,324.0,SUPERIOR
