Porcentaje_Real,Porcentaje_Predicho,Error,Error_Absoluto,Error_Porcentual,Comunidad_Autonoma,Familia_Profesional,Nivel_Educativo,Sexo
67.2,86.47183837789068,-19.271838377890674,19.271838377890674,28.678330919480167,Castilla y León,ELECTRICIDAD Y ELECTRÓNICA,SUPERIOR,Hombres
95.0,82.5828585902818,12.417141409718198,12.417141409718198,13.070675168124419,Castilla y León,ENERGÍA Y AGUA,SUPERIOR,Hombres
77.6,79.15512643711197,-1.55512643711198,1.55512643711198,2.004028913804098,Castilla y León,FABRICACIÓN MECÁNICA,SUPERIOR,Hombres
87.5,85.80553692347338,1.6944630765266169,1.6944630765266169,1.9365292303161334,Castilla y León,HOSTELERÍA Y TURISMO,SUPERIOR,Hombres
92.6,81.69596027452945,10.90403972547054,10.90403972547054,11.775420869838596,Castilla y León,IMAGEN PERSONAL,SUPERIOR,Hombres
91.2,78.49011371254913,12.709886287450871,12.709886287450871,13.936278823959288,Castilla y León,IMAGEN Y SONIDO,SUPERIOR,Hombres
82.5,80.86347299374096,1.636527006259044,1.636527006259044,1.983669098495811,Castilla y León,INDUSTRIAS ALIMENTARIAS,SUPERIOR,Hombres
80.0,84.82575839859102,-4.82575839859102,4.82575839859102,6.032197998238775,Castilla y León,INFORMÁTICA Y COMUNICACIONES,SUPERIOR,Hombres
90.4,81.71428262111435,8.685717378885656,8.685717378885656,9.608094445669972,Castilla y León,INSTALACIÓN Y MANTENIMIENTO,SUPERIOR,Hombres
57.3,68.50760208368136,-11.207602083681365,11.207602083681365,19.55951498024671,Castilla y León,"MADERA, MUEBLE Y CORCHO",SUPERIOR,Hombres
70.7,80.92867225960084,-10.228672259600842,10.228672259600842,14.46771182404645,Castilla y León,QUÍMICA,SUPERIOR,Hombres
75.4,69.64241386754803,5.757586132451976,5.757586132451976,7.636055878583522,Castilla y León,SANIDAD,SUPERIOR,Hombres
61.7,68.53918064193104,-6.839180641931037,6.839180641931037,11.084571542837985,Castilla y León,SEGURIDAD Y MEDIO AMBIENTE,SUPERIOR,Hombres
80.5,80.86684472688813,-0.3668447268881323,0.3668447268881323,0.4557077352647606,Castilla y León,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,SUPERIOR,Hombres
76.6,71.48116987750005,5.1188301224999435,5.1188301224999435,6.682545851827602,Castilla y León,"TEXTIL, CONFECCIÓN Y PIEL",SUPERIOR,Hombres
59.9,77.90967398452541,-18.009673984525413,18.009673984525413,30.06623369703742,Castilla y León,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,SUPERIOR,Hombres
67.2,73.00397960884341,-5.803979608843406,5.803979608843406,8.636874417921735,Castilla La Mancha,ACTIVIDADES FÍSICAS Y DEPORTIVAS,SUPERIOR,Hombres
69.8,79.26383827800109,-9.463838278001091,9.463838278001091,13.558507561606149,Castilla La Mancha,ADMINISTRACIÓN Y GESTIÓN,SUPERIOR,Hombres
63.8,87.16128239355957,-23.361282393559577,23.361282393559577,36.61643008394918,Castilla La Mancha,AGRARIA,SUPERIOR,Hombres
72.3,64.42456449394996,7.875435506050039,7.875435506050039,10.89271854225455,Castilla La Mancha,COMERCIO Y MARKETING,SUPERIOR,Hombres
69.5,75.94526447729206,-6.445264477292056,6.445264477292056,9.273761837830296,Castilla La Mancha,EDIFICACIÓN Y OBRA CIVIL,SUPERIOR,Hombres
95.1,81.67548848824556,13.424511511754432,13.424511511754432,14.116205585441044,Castilla La Mancha,ELECTRICIDAD Y ELECTRÓNICA,SUPERIOR,Hombres
41.6,72.27766236443637,-30.677662364436365,30.677662364436365,73.74438068374126,Castilla La Mancha,ENERGÍA Y AGUA,SUPERIOR,Hombres
74.4,83.237591218449,-8.837591218448992,8.837591218448992,11.878482820495956,Castilla La Mancha,FABRICACIÓN MECÁNICA,SUPERIOR,Hombres
85.2,88.36272300899931,-3.1627230089993077,3.1627230089993077,3.7121162077456664,Castilla La Mancha,HOSTELERÍA Y TURISMO,SUPERIOR,Hombres
76.2,80.01563830491514,-3.81563830491514,3.81563830491514,5.007399350282336,Castilla La Mancha,IMAGEN PERSONAL,SUPERIOR,Hombres
83.5,80.86544078758772,2.6345592124122845,2.6345592124122845,3.1551607334278855,Castilla La Mancha,IMAGEN Y SONIDO,SUPERIOR,Hombres
81.3,73.76685722194397,7.533142778056032,7.533142778056032,9.265858275591675,Castilla La Mancha,INDUSTRIAS ALIMENTARIAS,SUPERIOR,Hombres
100.0,82.28402728914388,17.71597271085612,17.71597271085612,17.71597271085612,Castilla La Mancha,INFORMÁTICA Y COMUNICACIONES,SUPERIOR,Hombres
74.8,80.88086383847484,-6.080863838474841,6.080863838474841,8.129497110260482,Castilla La Mancha,INSTALACIÓN Y MANTENIMIENTO,SUPERIOR,Hombres
87.9,89.96877754478585,-2.0687775447858456,2.0687775447858456,2.3535580714287208,Castilla La Mancha,"MADERA, MUEBLE Y CORCHO",SUPERIOR,Hombres
75.2,76.73915869295597,-1.539158692955965,1.539158692955965,2.046753581058464,Castilla La Mancha,QUÍMICA,SUPERIOR,Hombres
82.3,86.53236578703839,-4.23236578703839,4.23236578703839,5.142607274651749,Castilla La Mancha,SANIDAD,SUPERIOR,Hombres
78.7,79.11904268437073,-0.4190426843707229,0.4190426843707229,0.5324557615892286,Castilla La Mancha,SEGURIDAD Y MEDIO AMBIENTE,SUPERIOR,Hombres
77.2,83.71713257274291,-6.517132572742909,6.517132572742909,8.441881570910503,Castilla La Mancha,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,SUPERIOR,Hombres
87.9,73.16748102246294,14.732518977537069,14.732518977537069,16.760544911873797,Castilla La Mancha,"TEXTIL, CONFECCIÓN Y PIEL",SUPERIOR,Hombres
70.8,68.85426713577701,1.9457328642229896,1.9457328642229896,2.748210260201963,Castilla La Mancha,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,SUPERIOR,Hombres
72.8,68.60575809925159,4.194241900748409,4.194241900748409,5.761321292236826,Comunitat Valenciana,ACTIVIDADES FÍSICAS Y DEPORTIVAS,SUPERIOR,Hombres
90.3,71.81589938751449,18.484100612485506,18.484100612485506,20.46965737816778,Comunitat Valenciana,ADMINISTRACIÓN Y GESTIÓN,SUPERIOR,Hombres
66.2,71.20666852745904,-5.006668527459041,5.006668527459041,7.562943394953233,Comunitat Valenciana,AGRARIA,SUPERIOR,Hombres
91.6,86.16705439674143,5.43294560325856,5.43294560325856,5.9311633223346725,Comunitat Valenciana,ARTES GRÁFICAS,SUPERIOR,Hombres
55.9,71.09608169509823,-15.196081695098236,15.196081695098236,27.1844037479396,Comunitat Valenciana,ARTES Y ARTESANÍAS,SUPERIOR,Hombres
73.8,67.1185037986326,6.681496201367395,6.681496201367395,9.0535178880317,Comunitat Valenciana,COMERCIO Y MARKETING,SUPERIOR,Hombres
73.5,78.14821391647254,-4.6482139164725425,4.6482139164725425,6.324100566629309,Comunitat Valenciana,EDIFICACIÓN Y OBRA CIVIL,SUPERIOR,Hombres
64.6,70.92920015804002,-6.329200158040024,6.329200158040024,9.797523464458243,Comunitat Valenciana,ELECTRICIDAD Y ELECTRÓNICA,SUPERIOR,Hombres
100.0,74.61299883558223,25.387001164417768,25.387001164417768,25.387001164417768,Comunitat Valenciana,ENERGÍA Y AGUA,SUPERIOR,Hombres
87.9,79.26211124270114,8.637888757298867,8.637888757298867,9.826949667006675,Comunitat Valenciana,FABRICACIÓN MECÁNICA,SUPERIOR,Hombres
88.6,78.96110115689538,9.638898843104613,9.638898843104613,10.879118333075184,Comunitat Valenciana,HOSTELERÍA Y TURISMO,SUPERIOR,Hombres
86.1,79.69440325559081,6.405596744409181,6.405596744409181,7.439717473181395,Comunitat Valenciana,IMAGEN PERSONAL,SUPERIOR,Hombres
73.1,81.30547698283257,-8.205476982832579,8.205476982832579,11.22500271249327,Comunitat Valenciana,IMAGEN Y SONIDO,SUPERIOR,Hombres
89.2,76.47398067929812,12.72601932070188,12.72601932070188,14.266837803477445,Comunitat Valenciana,INDUSTRIAS ALIMENTARIAS,SUPERIOR,Hombres
100.0,71.6483566281812,28.351643371818795,28.351643371818795,28.351643371818795,Comunitat Valenciana,INFORMÁTICA Y COMUNICACIONES,SUPERIOR,Hombres
71.7,83.07842741299082,-11.378427412990817,11.378427412990817,15.869494299847723,Comunitat Valenciana,INSTALACIÓN Y MANTENIMIENTO,SUPERIOR,Hombres
74.1,84.44147210878478,-10.341472108784785,10.341472108784785,13.956102710910642,Comunitat Valenciana,"MADERA, MUEBLE Y CORCHO",SUPERIOR,Hombres
85.5,89.41034481853275,-3.9103448185327494,3.9103448185327494,4.57350271173421,Comunitat Valenciana,MARÍTIMO-PESQUERA,SUPERIOR,Hombres
85.4,79.00532155082283,6.394678449177178,6.394678449177178,7.487913874914728,Comunitat Valenciana,QUÍMICA,SUPERIOR,Hombres
78.9,84.04304274202052,-5.143042742020512,5.143042742020512,6.518431865678723,Comunitat Valenciana,SANIDAD,SUPERIOR,Hombres
89.8,82.78233060409137,7.0176693959086265,7.0176693959086265,7.814776610143237,Comunitat Valenciana,SEGURIDAD Y MEDIO AMBIENTE,SUPERIOR,Hombres
77.7,79.60413732015502,-1.9041373201550158,1.9041373201550158,2.450627181666687,Comunitat Valenciana,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,SUPERIOR,Hombres
71.3,85.81547933093104,-14.515479330931043,14.515479330931043,20.35831603216135,Comunitat Valenciana,"TEXTIL, CONFECCIÓN Y PIEL",SUPERIOR,Hombres
94.2,85.62906368001227,8.570936319987737,8.570936319987737,9.098658513787408,Comunitat Valenciana,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,SUPERIOR,Hombres
71.4,88.40362103195426,-17.003621031954253,17.003621031954253,23.814595282849094,Comunitat Valenciana,VIDRIO Y CERÁMICA,SUPERIOR,Hombres
77.6,87.67233651701129,-10.072336517011294,10.072336517011294,12.97981509924136,Extremadura,ACTIVIDADES FÍSICAS Y DEPORTIVAS,SUPERIOR,Hombres
