Nivel_Real,Nivel_Predicho,Correcto,Comunidad_Autonoma,Familia_Profesional,Sexo,Porcentaje
SUPERIOR,SUPERIOR,True,País Vasco,EDIFICACIÓN Y OBRA CIVIL,AMBOS SEXOS,96.8
BASICO,MEDIO,False,País Vasco,ELECTRICIDAD Y ELECTRÓNICA,AMBOS SEXOS,94.1
BASICO,MEDIO,False,País Vasco,ENERGÍA Y AGUA,AMBOS SEXOS,91.9
BASICO,MEDIO,False,País Vasco,FABRICACIÓN MECÁNICA,AMBOS SEXOS,96.0
MEDIO,MEDIO,True,País Vasco,HOSTELERÍA Y TURISMO,AMBOS SEXOS,94.9
MEDIO,SUPERIOR,False,País Vasco,IMAGEN PERSONAL,AMBOS SEXOS,98.1
BASICO,BASICO,True,País Vasco,IMAGEN Y SONIDO,AMBOS SEXOS,95.3
MEDIO,SUPERIOR,False,País Vasco,INDUSTRIAS ALIMENTARIAS,AMBOS SEXOS,96.5
BASICO,BASICO,True,País Vasco,INFORMÁTICA Y COMUNICACIONES,AMBOS SEXOS,94.6
SUPERIOR,SUPERIOR,True,País Vasco,INSTALACIÓN Y MANTENIMIENTO,AMBOS SEXOS,94.7
BASICO,BASICO,True,País Vasco,"MADERA, MUEBLE Y CORCHO",AMBOS SEXOS,91.2
BASICO,BASICO,True,País Vasco,MARÍTIMO-PESQUERA,AMBOS SEXOS,94.5
BASICO,SUPERIOR,False,País Vasco,QUÍMICA,AMBOS SEXOS,97.1
MEDIO,MEDIO,True,País Vasco,SANIDAD,AMBOS SEXOS,93.9
MEDIO,SUPERIOR,False,País Vasco,SEGURIDAD Y MEDIO AMBIENTE,AMBOS SEXOS,92.6
MEDIO,SUPERIOR,False,País Vasco,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,AMBOS SEXOS,97.1
SUPERIOR,SUPERIOR,True,País Vasco,"TEXTIL, CONFECCIÓN Y PIEL",AMBOS SEXOS,94.0
SUPERIOR,SUPERIOR,True,País Vasco,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,AMBOS SEXOS,96.2
MEDIO,SUPERIOR,False,La Rioja,ACTIVIDADES FÍSICAS Y DEPORTIVAS,AMBOS SEXOS,83.9
MEDIO,SUPERIOR,False,La Rioja,ADMINISTRACIÓN Y GESTIÓN,AMBOS SEXOS,86.4
SUPERIOR,SUPERIOR,True,La Rioja,AGRARIA,AMBOS SEXOS,67.5
SUPERIOR,SUPERIOR,True,La Rioja,COMERCIO Y MARKETING,AMBOS SEXOS,88.4
MEDIO,MEDIO,True,La Rioja,EDIFICACIÓN Y OBRA CIVIL,AMBOS SEXOS,80.5
BASICO,SUPERIOR,False,La Rioja,ELECTRICIDAD Y ELECTRÓNICA,AMBOS SEXOS,80.4
SUPERIOR,MEDIO,False,La Rioja,ENERGÍA Y AGUA,AMBOS SEXOS,98.2
BASICO,SUPERIOR,False,La Rioja,FABRICACIÓN MECÁNICA,AMBOS SEXOS,84.7
SUPERIOR,SUPERIOR,True,La Rioja,HOSTELERÍA Y TURISMO,AMBOS SEXOS,90.5
SUPERIOR,SUPERIOR,True,La Rioja,IMAGEN PERSONAL,AMBOS SEXOS,89.5
MEDIO,SUPERIOR,False,La Rioja,INDUSTRIAS ALIMENTARIAS,AMBOS SEXOS,81.2
BASICO,MEDIO,False,La Rioja,INFORMÁTICA Y COMUNICACIONES,AMBOS SEXOS,86.9
SUPERIOR,SUPERIOR,True,La Rioja,INSTALACIÓN Y MANTENIMIENTO,AMBOS SEXOS,85.5
SUPERIOR,MEDIO,False,La Rioja,QUÍMICA,AMBOS SEXOS,90.2
SUPERIOR,SUPERIOR,True,La Rioja,SANIDAD,AMBOS SEXOS,90.1
MEDIO,SUPERIOR,False,La Rioja,SEGURIDAD Y MEDIO AMBIENTE,AMBOS SEXOS,70.8
MEDIO,BASICO,False,La Rioja,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,AMBOS SEXOS,92.0
MEDIO,MEDIO,True,La Rioja,"TEXTIL, CONFECCIÓN Y PIEL",AMBOS SEXOS,88.5
SUPERIOR,SUPERIOR,True,La Rioja,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,AMBOS SEXOS,89.8
MEDIO,MEDIO,True,Ceuta,ACTIVIDADES FÍSICAS Y DEPORTIVAS,AMBOS SEXOS,79.7
SUPERIOR,SUPERIOR,True,Ceuta,ADMINISTRACIÓN Y GESTIÓN,AMBOS SEXOS,0.0
MEDIO,SUPERIOR,False,Ceuta,AGRARIA,AMBOS SEXOS,58.8
BASICO,BASICO,True,Ceuta,COMERCIO Y MARKETING,AMBOS SEXOS,0.0
BASICO,BASICO,True,Ceuta,EDIFICACIÓN Y OBRA CIVIL,AMBOS SEXOS,63.7
SUPERIOR,SUPERIOR,True,Ceuta,ELECTRICIDAD Y ELECTRÓNICA,AMBOS SEXOS,69.3
MEDIO,SUPERIOR,False,Ceuta,ENERGÍA Y AGUA,AMBOS SEXOS,84.7
MEDIO,MEDIO,True,Ceuta,HOSTELERÍA Y TURISMO,AMBOS SEXOS,76.7
SUPERIOR,SUPERIOR,True,Ceuta,IMAGEN PERSONAL,AMBOS SEXOS,78.3
BASICO,MEDIO,False,Ceuta,IMAGEN Y SONIDO,AMBOS SEXOS,85.9
BASICO,MEDIO,False,Ceuta,INFORMÁTICA Y COMUNICACIONES,AMBOS SEXOS,0.0
MEDIO,SUPERIOR,False,Ceuta,SANIDAD,AMBOS SEXOS,66.3
SUPERIOR,MEDIO,False,Ceuta,SEGURIDAD Y MEDIO AMBIENTE,AMBOS SEXOS,59.7
MEDIO,BASICO,False,Ceuta,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,AMBOS SEXOS,87.4
BASICO,SUPERIOR,False,Ceuta,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,AMBOS SEXOS,55.3
SUPERIOR,SUPERIOR,True,Melilla,ACTIVIDADES FÍSICAS Y DEPORTIVAS,AMBOS SEXOS,60.8
SUPERIOR,SUPERIOR,True,Melilla,ADMINISTRACIÓN Y GESTIÓN,AMBOS SEXOS,68.4
BASICO,MEDIO,False,Melilla,COMERCIO Y MARKETING,AMBOS SEXOS,85.9
BASICO,SUPERIOR,False,Melilla,ELECTRICIDAD Y ELECTRÓNICA,AMBOS SEXOS,81.1
BASICO,MEDIO,False,Melilla,HOSTELERÍA Y TURISMO,AMBOS SEXOS,73.7
MEDIO,SUPERIOR,False,Melilla,IMAGEN Y SONIDO,AMBOS SEXOS,73.9
SUPERIOR,MEDIO,False,Melilla,INFORMÁTICA Y COMUNICACIONES,AMBOS SEXOS,59.5
MEDIO,BASICO,False,Melilla,SANIDAD,AMBOS SEXOS,92.5
MEDIO,SUPERIOR,False,Melilla,SEGURIDAD Y MEDIO AMBIENTE,AMBOS SEXOS,48.3
SUPERIOR,MEDIO,False,Melilla,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,AMBOS SEXOS,90.8
SUPERIOR,SUPERIOR,True,Melilla,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,AMBOS SEXOS,74.7
SUPERIOR,SUPERIOR,True,Andalucía,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Hombres,96.7
SUPERIOR,MEDIO,False,Andalucía,ADMINISTRACIÓN Y GESTIÓN,Hombres,86.7
SUPERIOR,SUPERIOR,True,Andalucía,AGRARIA,Hombres,85.8
SUPERIOR,SUPERIOR,True,Andalucía,ARTES GRÁFICAS,Hombres,87.8
SUPERIOR,SUPERIOR,True,Andalucía,COMERCIO Y MARKETING,Hombres,89.4
MEDIO,SUPERIOR,False,Andalucía,EDIFICACIÓN Y OBRA CIVIL,Hombres,77.3
MEDIO,SUPERIOR,False,Andalucía,ELECTRICIDAD Y ELECTRÓNICA,Hombres,81.4
SUPERIOR,SUPERIOR,True,Andalucía,ENERGÍA Y AGUA,Hombres,83.6
BASICO,SUPERIOR,False,Andalucía,FABRICACIÓN MECÁNICA,Hombres,82.1
BASICO,MEDIO,False,Andalucía,HOSTELERÍA Y TURISMO,Hombres,82.9
BASICO,MEDIO,False,Andalucía,IMAGEN PERSONAL,Hombres,88.8
SUPERIOR,SUPERIOR,True,Andalucía,IMAGEN Y SONIDO,Hombres,89.9
MEDIO,MEDIO,True,Andalucía,INDUSTRIAS ALIMENTARIAS,Hombres,82.2
BASICO,BASICO,True,Andalucía,INFORMÁTICA Y COMUNICACIONES,Hombres,82.8
