eps,min_samples,n_clusters,n_noise,noise_ratio,silhouette,calinski,davies_bouldin
1.4756863389640515,5,2,8,0.2715546503733876,0.5058827177224826,126.96282772215699,0.6688429371877724
1.4756863389640515,6,2,10,0.3394433129667346,0.506114909729771,121.20165429171415,0.659869691048308
1.4756863389640515,7,2,12,0.40733197556008144,0.5057817471174976,109.25378659875462,0.6415086826491646
1.4756863389640515,8,3,14,0.47522063815342835,0.4925288580313865,52.79118653310966,1.047115038113015
1.4756863389640515,9,1,30,1.0183299389002036,-1.0,-1.0,999.0
1.4756863389640515,10,1,30,1.0183299389002036,-1.0,-1.0,999.0
1.6724445174925915,3,1,0,0.0,-1.0,-1.0,999.0
1.6724445174925915,4,1,0,0.0,-1.0,-1.0,999.0
1.6724445174925915,5,1,2,0.0678886625933469,-1.0,-1.0,999.0
1.6724445174925915,6,1,3,0.10183299389002036,-1.0,-1.0,999.0
1.6724445174925915,7,2,4,0.1357773251866938,0.5055367243445635,144.67193811249237,0.6885054769134349
1.6724445174925915,8,2,5,0.1697216564833673,0.5059430387400246,138.7629939374495,0.6857818243958722
1.6724445174925915,9,2,13,0.44127630685675495,0.5021486451629374,89.23107712406295,0.6333505808174138
1.6724445174925915,10,1,28,0.9504412763068567,-1.0,-1.0,999.0
1.8692026960211319,3,1,0,0.0,-1.0,-1.0,999.0
1.8692026960211319,4,1,0,0.0,-1.0,-1.0,999.0
1.8692026960211319,5,1,0,0.0,-1.0,-1.0,999.0
1.8692026960211319,6,1,0,0.0,-1.0,-1.0,999.0
1.8692026960211319,7,1,0,0.0,-1.0,-1.0,999.0
1.8692026960211319,8,1,1,0.03394433129667345,-1.0,-1.0,999.0
1.8692026960211319,9,2,3,0.10183299389002036,0.5045362541449984,138.09513395079543,0.6816647287168153
1.8692026960211319,10,2,3,0.10183299389002036,0.5045362541449984,138.09513395079543,0.6816647287168153
2.0659608745496723,3,1,0,0.0,-1.0,-1.0,999.0
2.0659608745496723,4,1,0,0.0,-1.0,-1.0,999.0
2.0659608745496723,5,1,0,0.0,-1.0,-1.0,999.0
2.0659608745496723,6,1,0,0.0,-1.0,-1.0,999.0
2.0659608745496723,7,1,0,0.0,-1.0,-1.0,999.0
2.0659608745496723,8,1,0,0.0,-1.0,-1.0,999.0
2.0659608745496723,9,1,0,0.0,-1.0,-1.0,999.0
2.0659608745496723,10,1,0,0.0,-1.0,-1.0,999.0
2.262719053078212,3,1,0,0.0,-1.0,-1.0,999.0
2.262719053078212,4,1,0,0.0,-1.0,-1.0,999.0
2.262719053078212,5,1,0,0.0,-1.0,-1.0,999.0
2.262719053078212,6,1,0,0.0,-1.0,-1.0,999.0
2.262719053078212,7,1,0,0.0,-1.0,-1.0,999.0
