Sexo,Comunidad autónoma/provincia,Ciclo formativo,Total,nivel_ciclo,nivel_ciclo_cod,Ciclo formativo_cod,cluster
AMBOS SEXOS,Cádiz,Actividades marítimo-pesqueras,0.0,BASICO,0,34,3
AMBOS SEXOS,Cádiz,23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,4.0,BASICO,0,22,3
AMBOS SEXOS,Cádiz,Actividades domésticas y limpieza de edificios,4.0,BASICO,0,32,3
AMBOS SEXOS,Cádiz,"24 TEXTIL, CONFECCIÓN Y PIEL",0.0,BASICO,0,23,3
AMBOS SEXOS,Cádiz,Arreglo y reparación de artículos textiles y de piel,0.0,BASICO,0,47,3
AMBOS SEXOS,Cádiz,Tapicería y cortinaje,0.0,BASICO,0,197,3
AMBOS SEXOS,Cádiz,25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,37.0,BASICO,0,24,3
AMBOS SEXOS,Cádiz,Mantenimiento de embarcaciones deportivas y de recreo,0.0,BASICO,0,142,3
AMBOS SEXOS,Cádiz,Mantenimiento de vehículos,37.0,BASICO,0,146,3
AMBOS SEXOS,Cádiz,26 VIDRIO Y CERÁMICA,0.0,BASICO,0,25,3
AMBOS SEXOS,Cádiz,Vidriería y alfarería,0.0,BASICO,0,202,3
AMBOS SEXOS,Córdoba,01 ACTIVIDADES FÍSICAS Y DEPORTIVAS,0.0,BASICO,0,0,3
AMBOS SEXOS,Córdoba,Acceso y Conservación en Instalaciones Deportivas,0.0,BASICO,0,26,3
AMBOS SEXOS,Córdoba,02 ADMINISTRACIÓN Y GESTIÓN,102.0,BASICO,0,1,3
AMBOS SEXOS,Córdoba,Servicios administrativos,102.0,BASICO,0,189,3
AMBOS SEXOS,Córdoba,03 AGRARIA,41.0,BASICO,0,2,3
AMBOS SEXOS,Córdoba,Actividades agropecuarias,0.0,BASICO,0,29,3
AMBOS SEXOS,Córdoba,Agro-jardinería y composiciones florales,41.0,BASICO,0,40,3
AMBOS SEXOS,Córdoba,Aprovechamientos forestales,0.0,BASICO,0,46,3
AMBOS SEXOS,Córdoba,04 ARTES GRÁFICAS,0.0,BASICO,0,3,3
AMBOS SEXOS,Córdoba,Artes gráficas,0.0,BASICO,0,48,3
AMBOS SEXOS,Córdoba,06 COMERCIO Y MARKETING,5.0,BASICO,0,5,3
AMBOS SEXOS,Córdoba,Servicios comerciales,5.0,BASICO,0,190,3
AMBOS SEXOS,Córdoba,07 EDIFICACIÓN Y OBRA CIVIL,0.0,BASICO,0,6,3
AMBOS SEXOS,Córdoba,Reforma y mantenimiento de edificios,0.0,BASICO,0,188,3
AMBOS SEXOS,Córdoba,08 ELECTRICIDAD Y ELECTRÓNICA,77.0,BASICO,0,7,3
AMBOS SEXOS,Córdoba,Electricidad y electrónica,77.0,BASICO,0,91,3
AMBOS SEXOS,Córdoba,Instalaciones electrotécnicas y mecánica,0.0,BASICO,0,128,3
AMBOS SEXOS,Córdoba,10 FABRICACIÓN MECÁNICA,25.0,BASICO,0,9,3
AMBOS SEXOS,Córdoba,Fabricación de elementos metálicos,0.0,BASICO,0,104,3
AMBOS SEXOS,Córdoba,Fabricación y montaje,25.0,BASICO,0,107,3
AMBOS SEXOS,Córdoba,11 HOSTELERÍA Y TURISMO,19.0,BASICO,0,10,3
AMBOS SEXOS,Córdoba,Actividades de panadería y pastelería,0.0,BASICO,0,31,3
AMBOS SEXOS,Córdoba,Alojamiento y lavandería,0.0,BASICO,0,41,3
AMBOS SEXOS,Córdoba,Cocina y restauración,19.0,BASICO,0,62,3
AMBOS SEXOS,Córdoba,12 IMAGEN PERSONAL,29.0,BASICO,0,11,3
AMBOS SEXOS,Córdoba,Peluquería y estética,29.0,BASICO,0,167,3
AMBOS SEXOS,Córdoba,14 INDUSTRIAS ALIMENTARIAS,25.0,BASICO,0,13,3
AMBOS SEXOS,Córdoba,Industrias alimentarias,25.0,BASICO,0,122,3
AMBOS SEXOS,Córdoba,16 INFORMÁTICA Y COMUNICACIONES,89.0,BASICO,0,15,3
AMBOS SEXOS,Córdoba,Informática de oficina,36.0,BASICO,0,124,3
AMBOS SEXOS,Córdoba,Informática y comunicaciones,53.0,BASICO,0,125,3
AMBOS SEXOS,Córdoba,17 INSTALACIÓN Y MANTENIMIENTO,0.0,BASICO,0,16,3
AMBOS SEXOS,Córdoba,Mantenimiento de viviendas,0.0,BASICO,0,147,3
AMBOS SEXOS,Córdoba,"18 MADERA, MUEBLE Y CORCHO",15.0,BASICO,0,17,3
AMBOS SEXOS,Córdoba,Carpintería y mueble,15.0,BASICO,0,58,3
AMBOS SEXOS,Córdoba,19 MARÍTIMO-PESQUERA,0.0,BASICO,0,18,3
AMBOS SEXOS,Córdoba,Actividades marítimo-pesqueras,0.0,BASICO,0,34,3
AMBOS SEXOS,Córdoba,23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,4.0,BASICO,0,22,3
AMBOS SEXOS,Córdoba,Actividades domésticas y limpieza de edificios,4.0,BASICO,0,32,3
AMBOS SEXOS,Córdoba,"24 TEXTIL, CONFECCIÓN Y PIEL",5.0,BASICO,0,23,3
AMBOS SEXOS,Córdoba,Arreglo y reparación de artículos textiles y de piel,5.0,BASICO,0,47,3
AMBOS SEXOS,Córdoba,Tapicería y cortinaje,0.0,BASICO,0,197,3
AMBOS SEXOS,Córdoba,25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,28.0,BASICO,0,24,3
AMBOS SEXOS,Córdoba,Mantenimiento de embarcaciones deportivas y de recreo,0.0,BASICO,0,142,3
AMBOS SEXOS,Córdoba,Mantenimiento de vehículos,28.0,BASICO,0,146,3
AMBOS SEXOS,Córdoba,26 VIDRIO Y CERÁMICA,0.0,BASICO,0,25,3
AMBOS SEXOS,Córdoba,Vidriería y alfarería,0.0,BASICO,0,202,3
AMBOS SEXOS,Granada,01 ACTIVIDADES FÍSICAS Y DEPORTIVAS,0.0,BASICO,0,0,3
AMBOS SEXOS,Granada,Acceso y Conservación en Instalaciones Deportivas,0.0,BASICO,0,26,3
AMBOS SEXOS,Granada,02 ADMINISTRACIÓN Y GESTIÓN,79.0,BASICO,0,1,3
AMBOS SEXOS,Granada,Servicios administrativos,79.0,BASICO,0,189,3
AMBOS SEXOS,Granada,03 AGRARIA,33.0,BASICO,0,2,3
AMBOS SEXOS,Granada,Actividades agropecuarias,5.0,BASICO,0,29,3
AMBOS SEXOS,Granada,Agro-jardinería y composiciones florales,22.0,BASICO,0,40,3
AMBOS SEXOS,Granada,Aprovechamientos forestales,6.0,BASICO,0,46,3
AMBOS SEXOS,Granada,04 ARTES GRÁFICAS,4.0,BASICO,0,3,3
AMBOS SEXOS,Granada,Artes gráficas,4.0,BASICO,0,48,3
AMBOS SEXOS,Granada,06 COMERCIO Y MARKETING,19.0,BASICO,0,5,3
AMBOS SEXOS,Granada,Servicios comerciales,19.0,BASICO,0,190,3
AMBOS SEXOS,Granada,07 EDIFICACIÓN Y OBRA CIVIL,0.0,BASICO,0,6,3
AMBOS SEXOS,Granada,Reforma y mantenimiento de edificios,0.0,BASICO,0,188,3
AMBOS SEXOS,Granada,08 ELECTRICIDAD Y ELECTRÓNICA,82.0,BASICO,0,7,3
AMBOS SEXOS,Granada,Electricidad y electrónica,82.0,BASICO,0,91,3
AMBOS SEXOS,Granada,Instalaciones electrotécnicas y mecánica,0.0,BASICO,0,128,3
AMBOS SEXOS,Granada,10 FABRICACIÓN MECÁNICA,14.0,BASICO,0,9,3
AMBOS SEXOS,Granada,Fabricación de elementos metálicos,0.0,BASICO,0,104,3
AMBOS SEXOS,Granada,Fabricación y montaje,14.0,BASICO,0,107,3
AMBOS SEXOS,Granada,11 HOSTELERÍA Y TURISMO,26.0,BASICO,0,10,3
AMBOS SEXOS,Granada,Actividades de panadería y pastelería,0.0,BASICO,0,31,3
AMBOS SEXOS,Granada,Alojamiento y lavandería,7.0,BASICO,0,41,3
AMBOS SEXOS,Granada,Cocina y restauración,19.0,BASICO,0,62,3
AMBOS SEXOS,Granada,12 IMAGEN PERSONAL,49.0,BASICO,0,11,3
AMBOS SEXOS,Granada,Peluquería y estética,49.0,BASICO,0,167,3
AMBOS SEXOS,Granada,14 INDUSTRIAS ALIMENTARIAS,9.0,BASICO,0,13,3
AMBOS SEXOS,Granada,Industrias alimentarias,9.0,BASICO,0,122,3
AMBOS SEXOS,Granada,16 INFORMÁTICA Y COMUNICACIONES,68.0,BASICO,0,15,3
AMBOS SEXOS,Granada,Informática de oficina,5.0,BASICO,0,124,3
AMBOS SEXOS,Granada,Informática y comunicaciones,63.0,BASICO,0,125,3
AMBOS SEXOS,Granada,17 INSTALACIÓN Y MANTENIMIENTO,0.0,BASICO,0,16,3
AMBOS SEXOS,Granada,Mantenimiento de viviendas,0.0,BASICO,0,147,3
AMBOS SEXOS,Granada,"18 MADERA, MUEBLE Y CORCHO",10.0,BASICO,0,17,3
AMBOS SEXOS,Granada,Carpintería y mueble,10.0,BASICO,0,58,3
AMBOS SEXOS,Granada,19 MARÍTIMO-PESQUERA,0.0,BASICO,0,18,3
AMBOS SEXOS,Granada,Actividades marítimo-pesqueras,0.0,BASICO,0,34,3
AMBOS SEXOS,Granada,23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,13.0,BASICO,0,22,3
AMBOS SEXOS,Granada,Actividades domésticas y limpieza de edificios,13.0,BASICO,0,32,3
AMBOS SEXOS,Granada,"24 TEXTIL, CONFECCIÓN Y PIEL",6.0,BASICO,0,23,3
